,key_words_rak,key_words_tf_idf,titles,keywords_intext,year,final_keywords
12,"high resolution tracking— student exact,week astronomy inquiry progression mediated,making student idea advancement dynamically,students cooperatively constructed aggregate representations,real world field investigations requires,brenda lópez silva,mobile application called common knowledge,hotspot location tracking—student movement,simulation called hunger games,driven phased inquiry progression,hunger games engages learners,public displays firmly maintained,previous camera trap placements,camera traps produced photographic evidence,make optimal foraging choices","play,role,teacher,informal,student,self,utterances,performed,actors,utterance,system,comments,table,formal,mutual",Knowledge Construction in the Instrumented Classroom:,"role-play, puppetry, perspective-taking, reflection",2015,"set(['mut', 'play', 'puppetr', 'rol', 'form', 'perform', 'ut', 'self', 'tabl', 'system', 'role-play', 'reflect', 'inform', 'perspective-tak', 'stud', 'act', 'teach', 'com'])"
13,"conduct successful learning transfer,play support system intended,strijbos & de laat,university sophomores majoring,teaching licenses participated,fundamentally social process,foster deep perspectivetaking,centered learning stance,smooth lesson flow,encourage social interaction,tangible puppetrybased role,young pupils tend,blue led lights,eliciting reactions including,gave mutual feedback","media,cycles,reflective,youth,production,action,digital,one another,respective,land,partnership,cycle,mastery,another,summer",Fostering and Reflecting on Diverse Perspective-Taking in,,2017,"set(['med', 'digit', 'land', 'sum', 'ano', 'partn', 'cyc', 'reflect', 'master', 'act', 'one anoth', 'you', 'respect', 'produc'])"
14,,"roles,pairs,children,explanations,partner,world,land,explanation,tool,food,theme,tabletop,impact,human,themes",Symbiotic Learning Partnerships in Youth Action Sports,"Tangible systems, discourse, student roles, positive interdependence",2017,"set(['impact', 'childr', 'land', 'rol', 'food', 'hum', 'tool', 'them', 'partn', 'tabletop', 'expl', 'pair', 'world'])"
15,"highdefinition digital video camera captured,opposing statements involved negative terms,roles pairs gave explanations largely,system interdependencies require multiple stamps,open circular tangible “info ring,stratford hall independent school,natural resources manager gave explanations,physical actions surrounding c2 explanation,holistic versus positioned perspective,educative error explanation tabs,development manager gave explanations,forty 5th grade children,physical actions taking place,impact tool paused interaction,assigned roles/controls condition gave","games,st,components,game,digital,week,behaviors,whole class,playing,board,designs,year,workshop,workshops,videos",Explanation-Giving in a Collaborative Tangible Tabletop Game:,,2018,"set(['week', 'digit', 'play', 'whole class', 'behavy', 'compon', 'gam', 'workshop', 'design', 'board', 'year', 'video', 'st'])"
16,"student groups incorporated math cards,important 21st century skill,students play math board games,students design math board games,giving students math cards,systems thinking helps people,videos people post online,pairs helped students articulate,design math board games,systems thinking learning goals,playing versus making games,class discussions brainstorming ideas,navigating everyday professional,grade levels ahead,designing games impacts st","studies,papers,cscl,technologies,skills,specific,initial,technology,frameworks,collaboration,collaborative,included,professional,review,framework",Playing and Designing Games for Systems Thinking: A Design,,2017,"set(['pap', 'review', 'technolog', 'collab', 'cscl', 'framework', 'init', 'skil', 'stud', 'profess', 'spec', 'includ'])"
17,"hämäläinen & cattaneo,3d spaces provided safe environments,hämäläinen,assist collaborative analyzing erroneous practices,frequently studied professions included construction,dual systems combining school,supplement traditional vocational classroom,practical intelligence articulates technical,specific framework informing technology design,abovementioned practical intelligence skills,frequently studied work domains,learn work processes holistically,learning holistic work processes,data collection included fieldnotes,paper included multiple countries","maps,force,concept,concepts,modeling,depth,group,simple,relationships,condition,map,network,individual,collaboration,physics",CSCL and Vocational Education:,"shared knowledge, collaboration skills, network analysis",2015,"set(['map', 'group', 'network', 'forc', 'conceiv', 'collab', 'dep', 'rel', 'phys', 'condit', 'model', 'simpl', 'individu'])"
18,"eighth grade science classrooms taught,external artifact representing shared knowledge,network based analysis allowed investigation,practice developing individual concept maps,social interactions shape individual learning,people create shared artifacts,end showing primary differences,phrase denoted dimension loadings,modeling group included significantly,students spent 12 minutes creating,group understanding underwent multiple,students produced higher quantity,simple machines versus connecting,core physics concepts & simple,group concept mapping activity","prototype,question,answer,questions,discussion,digital,thread,content,text,answers,side,platform,tablet,ask,student",Internalization of Physics Concepts and Relationships Based on,"digital textbooks, question and answer forums, tablets, introductory biology",2015,"set(['digit', 'cont', 'tablet', 'thread', 'text', 'answ', 'platform', 'quest', 'prototyp', 'stud', 'sid', 'ask', 'discuss'])"
19,"small screen real estate,incorporate collaborative activities directly,gradually replacing physical textbooks,show previous votes received,compose question window appears,table 1 presents results related,facilitating collaborative knowledge construction,students spent 30 minutes reading,design decision facilitates students,features influence student collaboration,productive collaborative behaviors,primary instructional resource,typically occurs externally,open source project,van der pol","community,cs,teachers,life,professional,computer science,local,course,academic,teaching,engineering,narrative,content knowledge,identity,change",Promoting Interaction by Integrating a Question and Answer Forum,"computer science, narrative methods, community, life-long learning",2016,"set(['narrative method', 'communit', 'cour', 'life-long learn', 'loc', 'computer sci', 'lif', 'content knowledg', 'nar', 'chang', 'cs', 'engin', 'teach', 'profess', 'id', 'academ'])"
20,"days reviewing student project reports,computer science diaries expose suggests,selected corpus comprises 575 entries,distinctly separate narrative enquiries,students develop lifelong learning skills,campus community influence student learning,computer science teachers aligns,foster lifelong learning skills,school cs curricula moved,outer reference group orientation,cs national teacher center,engineering face challenges due,spending valuable time planning,cs higher education faculty,leading teacher program valued","interest,players,science,career,interests,stem,practice,competency,youth,phenomena,long term,pedagogy,beliefs,engagement,activities",Negotiating Academic Communities: Narratives of Life-long,,2016,"set(['play', 'sci', 'eng', 'car', 'act', 'stem', 'pract', 'compet', 'believ', 'interest', 'long term', 'phenomen', 'you', 'pedagog'])"
21,,"game,players,participatory,games,gaming,play,components,strategy,participation,line,online,actions,communities,observation,spaces",Moving Ahead in the Study of STEM Interests and Interest,"lurking, participatory spectatorship, participation",2015,"set(['play', 'spac', 'lin', 'particip', 'communit', 'compon', 'gam', 'act', 'onlin', 'participator', 'observ', 'strategi'])"
22,"games incorporate sound learning principles,multimodal spaces opens perspectives,complex media spaces involving,lurking describes peripheral membership,competitive gaming communities requires,analyze hypothetical situations based,participatory spectatorship serves participants,highly interactive game space,participatory spectatorship presents players,negative connotation aimed,safe lane carry,complex media spaces,legitimate peripheral participation,communication channels expand,term strategic ramification","mode,role,knowledge,model,production,actors,community,researcher,application,primarily,scientific,new,knowledge building,relation,process",From Lurking to Participatory Spectatorship:,,2018,"set(['communit', 'rol', 'process', 'primaril', 'knowledg', 'new', 'research', 'appl', 'rel', 'act', 'sci', 'model', 'knowledge build', 'produc', 'mod'])"
23,"replacing inherent hierarchical power imbalances,initiate institutional change due,time professional academic highlights,prolonged process eventually led,thinking termed collaborative rationality,theoretical work undertaken primarily,mode 2 challenges traditional systems,highly reflexive replacing,educational interventions quoted,cscl conferences focus,private consulting firms,sørensen & petersen,collecting expert advice,consulting firm hired,short fictional films","text,reading,picture,english,eye,representational,comprehension,texts,look,movement,time,material,vocabulary,prior knowledge,processing",Researcher or Fellow Citizen?,"Multi-representational learning, integrative processing, eye-movements, reading in a",2018,"set(['compreh', 'process', 'engl', 'look', 'multi-representational learn', 'tim', 'read', 'text', 'mov', 'vocabular', 'repres', 'eye-mov', 'mater', 'reading in a', 'prior knowledg', 'ey', 'integrative process', 'pict'])"
24,"speeded visual lexical decision task,total times spent making text,representational texts suggests positive associations,native english readers integrate verbal,longer sentence reading times,gray silent reading tests,picture fixation time refers,tobii pro tx300 eye,text fixation time refers,assesses english vocabulary knowledge,involve native readers learning,native english readers reading,find significant associations,english reading comprehension ability,pencil task assessing","group,segment,positioning,ideas,measures,equity,group members,statements,members,groups,mostly,equitable,speaking,less,clearly",Learning with Multi-Representational Texts in a Second Language:,,2018,"set(['meas', 'group', 'memb', 'group memb', 'less', 'stat', 'seg', 'most', 'posit', 'ide', 'equit', 'clear', 'speak'])"
25,"based instructional strategies require small,group member feels comfortable sharing,doctoral granting technical institute,multiple independent raters select,multiple raters collaboratively analyzed,civility inform important aspects,jessica quickly stopped speaking,justin quickly appears disinterested,eventually justin stops talking,methods effectively characterize groups,group members dominate discussion,harré & van langenhove,metacognitive skill development,carbon dioxide entering,emit carbon dioxide","epistemic agency,jigsaw,discourse,agency,sna,epistemic,student student,scenario,group,student,knowledge,lack,documents,shared,network",Qualitative Measures of Equity in Small Groups,"shared epistemic agency, multivocality approach, social network analysis, in-depth",2015,"set(['epistem', 'epistemic ag', 'shared epistemic ag', 'group', 'scenario', 'ag', 'sna', 'multivocality approach', 'student stud', 'jigsaw', 'in-depth', 'disco', 'lack', 'social network analysi', 'shar', 'knowledg', 'stud', 'docu', 'network'])"
26,"automatically create concept maps based,appropriately apply lesson plans,university students collaboratively read articles,required complementary content analysis,wholly joint epistemic actions,exerting shared epistemic agency,ultimately promoting shared understanding,year university students engaging,knowledge forum cscl system,automatically detected pivotal points,depth dialogical analysis provided,numerically identifying pivotal points,quantitatively identified pivotal points,activity structure designed based,analyze shared epistemic agency","itm,electricity,discourse,threads,inquiry,idea,thread,online discourse,phase,notes,knowledge building,topics,reflection,collective,knowledge",A Multivocality Approach to Epistemic Agency,"metadiscourse, Idea Thread Mapper, knowledge building, collective responsibility",2015,"set(['reflect', 'collective respons', 'itm', 'elect', 'thread', 'ide', 'inquir', 'disco', 'metadisco', 'knowledg', 'phas', 'idea thread mapp', 'top', 'collect', 'not', 'knowledge build', 'online discours'])"
27,"analytic toolkit underlying knowledge forum,select important discourse entries addressing,final presentations sharing deeper knowledge,sustained knowledge building requires students,monitor diverse inquiry themes evolving,cultivate creative knowledge practices,student summaries examined student awareness,grade 5/6 classroom studying electricity,negatively charged particles interact,electrically charged particles including protons,monitor diverse evolving themes,generate increasingly powerful explanations,aided metadiscourse fostered coherent efforts,foster sustained knowledge building,student knowledge building facilitated","condition,solution,attempts,conceptual knowledge,knowledge,fractions,error,correct,negative,phase,prompt,conceptual,prompts,instruction,incorrect",Fostering Sustained Knowledge Building through Metadiscourse,,2018,"set(['incorrect', 'attempt', 'conceptu', 'neg', 'prompt', 'knowledg', 'phas', 'fract', 'instruct', 'solv', 'condit', 'correct', 'conceptual knowledg', 'er'])"
28,"kontexte für sinnstiftendes mathematiklernen,typical erroneous solution attempts marked,prior knowledge covered items related,vivo research paradigm advocated,conceptual knowledge introduced problems similar,solving activity remains ineffective,receive erroneous solution attempts,process analyses yielded insights,including erroneous solution attempts,typical erroneous solution attempts,erroneous solution attempt provided,problem solving fosters learning fractions,called productive failure approach,prompt condition significantly outperformed students,results partially support hypothesis 1","perceptual,sense,activities,sequence,chemistry,competencies,visual,unit,sense making,units,prior,spatial,knowledge,condition,content knowledge",Learning From Errors – The Effect of Comparison Prompts in,"Multiple visual representations, representational competencies, explicit and implicit learning processes, sense making, perceptual fluency",2018,"set(['multiple visual represent', 'explicit and implicit learning process', 'representational compet', 'sense mak', 'perceptual flu', 'knowledg', 'pri', 'condit'])"
29,"perceptual fluency frees cognitive capacity,features expert chemists pay attention,longitudinal study match previous findings,prior studies included short interventions,prior content knowledge level determines,sociocultural literature describes perceptual fluency,perceptual fluency helps students make,cognitive psychology research attributes,verbally mediated explanationbased processes,topics spans multiple weeks,chemistry instruction heavily relies,significantly higher learning gains,detect small effect sizes,make content knowledge accessible,chemistry instruction typically includes","representations,generated,project,representation,student,representational,topic,represented,visualization,quantitative,multiple,visual,versions,final,aspects",Sequencing Support for Sense Making and Perceptual Fluency with,"multiple representations, infographics, assessing student-generated artifacts",2017,"set(['multipl', 'vert', 'aspect', 'assessing student-generated artifact', 'infograph', 'top', 'repr', 'multiple represent', 'repres', 'project', 'vis', 'stud', 'fin', 'gen', 'quantit'])"
30,"students pick project topics based,alternative experimental secondary school,categorical versus interval data,semantic maps represent relationships,suburban public secondary school,repetitive versus complementary nature,students make choices related,drawings provide physical association,building blocks students work,bigger science literacy project,provide multiple credible sources,assess student generated artifacts,van meter & garner,prior knowledge activation,developing young adults","heterogeneous,group,concept,concept map,groups,map,maps,activity,knowledge,formation,characteristics,performance,gain,tests,lab",Assessing Student Generated Infographics for Scaffolding,"group learning, heterogeneity, inquiry-based learning, online experimentation",2015,"set(['map', 'online experiment', 'inquiry-based learn', 'form', 'heterog', 'group learn', 'conceiv', 'knowledg', 'lab', 'charact', 'perform', 'concept map', 'act', 'test', 'group', 'gain'])"
31,"interactive osmotic power plant simulation,weighted constraint satisfaction problem,providing additional discriminating factors,osmotic power plant influences,group share similar knowledge background,learning scenario demands multidisciplinarity,learning platform related activity #actions,group formation processing chain,concept map related activity #concepts,concept map measures contribute,web based learning environment,complicated process requires time,achieve higher knowledge gain,create common ground faster,multidimensional clustering schema based","technology,design,participatory,practices,school,power,organizational,relations,schools,integration,shifts,stakeholders,gaming,needs,student",Using Differences to Make a Difference:,,2017,"set(['school', 'stud', 'stakehold', 'pow', 'nee', 'technolog', 'gam', 'pract', 'design', 'integr', 'rel', 'shift', 'org', 'participator'])"
32,,"perceptual,gestures,activities,communication,visual,acquisition,collaborative,answer,collaboration,chemistry,features,enhance,efficiency,collaboratively,implicit",Participatory Design With Students for Technology Integration:,"Perceptual learning, nonverbal communication, collaboration, implicit learning",2018,"set(['perceptu', 'chemistr', 'commun', 'enh', 'feat', 'effic', 'collab', 'answ', 'vis', 'act', 'gest', 'acquisit', 'implicit'])"
33,"longer response times made students,collaborative learning yields conflicting hypotheses,sociocultural literature describes perceptual fluency,collaborative activities afford explicit processes,perceptual activities involve simple tasks,twodimensional lewis structures depict,students working collaboratively versus individually,collaboratively construct meaningful explanations,varying irrelevant visual features,significantly lower error rates,collaborative versus individual work,students rarely receive instruction,prior individual study corroborates,collaborative versus individual activities,expert chemists pay attention","evidence,claim,argumentation,reflective,simulation,strategies,like,group,run,generative,molecules,yeah,consensus,random,codes",A Collaboration Script for Nonverbal Communication Enhances,,2018,"set(['yeah', 'claim', 'group', 'evid', 'molec', 'random', 'argu', 'consens', 'lik', 'reflect', 'cod', 'run', 'gen', 'sim', 'strategi'])"
34,"reflective strategies promote generative processing,generative strategies showed reflective behavior,building argumentation skills based,support stronger argumentation skills—,claim selection strategies impacted,reflective strategies promote extraneous,accurate cer responses compared,high school biology conducted 2010,argumentation prompts enabled students,3day units directed students,building argumentation skills,enables mutual construction,discourse analytic conventions,explicit instructional prompts,scaffold reflective group strategies","food,systems,technology,nectar,thinking,location,participatory,system,around,place,positioning,movements,complex systems,real time,paths",Identifying Reflective and Non-Reflective Group Consensus,,2018,"set(['loc', 'around', 'complex system', 'food', 'technolog', 'system', 'real tim', 'mov', 'posit', 'plac', 'path', 'nect', 'participator', 'think'])"
35,"army ants leave pheromone trails,ant ip implementations proceeded similarly,exchange demonstrates exciting evidence,make personally meaningful connections,leave virtual pheromone trails,previously successful bee curriculum,simulation integrated indoor positioning,locate plentiful food sources,precise distance data provided,uwb tag device moves,army ant push toy,making systems elements salient,flowers held rfid tags,high resolution information provided,indoor positioning technology allowed","leadership,mastery,group,cohesion,goal,goals,orientations,level,performance,group members,model,members,effect,predicted,individual",Indoor Positioning Technology and Enhanced Engagement in Early,,2018,"set(['group', 'goal', 'lead', 'ory', 'perform', 'group memb', 'level', 'effect', 'predict', 'memb', 'master', 'coh', 'model', 'individu'])"
36,"pav goal orientation negatively predicted,leadership helped strong pap goal,sample item / formula,scales exhibited acceptable levels,multiple linear regression analysis,goal orientations predict leadership styles,leadership behavior descriptor questionnaire,multiple linear regression models,encouraging mastery goal adoption,classic dichotomous model viewing,leadership play moderation role,leadership plays moderation role,earlier literature studying leadership,mastery goals represent students,leadership level significantly reduced","gas,learners,posts,degree,tablet,units,reflection,participatory,final,tabletop,development,reflecting,team,left,interface",Achievement Goals and Team Leadership in Online Small Group,,2018,"set(['degr', 'develop', 'tablet', 'fin', 'team', 'gas', 'reflect', 'interfac', 'tabletop', 'learn', 'post', 'participator', 'unit', 'left'])"
37,"final year capstone projects led,degree immersive data visualisation facility,authentic final year capstone experience,highly collaborative active participation,final year students reflecting retrospectively,collaborative timeline highlights milestones,developing work ready graduates,ensure effective collective reflection,individually produce educational resources,collective reflective screen casting,facilitate student collaborative learning,final year capstone units,classic educational literature,immersive facility located,participatory timeline collaborative interface","teacher,discussions,issues,classroom,school,discourse,talk,history,student,reasoning,agency,inquiry,communication,historical,argumentation",Making Learning Journeys Visible:,,2016,"set(['classroom', 'hist', 'school', 'ag', 'commun', 'inquir', 'histor', 'disco', 'issu', 'reason', 'argu', 'stud', 'teach', 'discuss', 'talk'])"
38,"german philosopher jürgen habermas faced,broader social conditions posed constraints,online small group activities facilitated,emotions fuels small group argumentation,growth modeling techniques applied,pragmatist charles sanders peirce,textbooks provided indisputable narratives,experienced rich discursive instruction,negotiating communicative ground rules fostered,developing reading comprehension skills,produce substantive learning gains,related historical controversy historical,agents supported student groups providing,historical issues triggers emotionally,mäkitalo bring democracy","space,spaces,communities,knowledge,studio,threads,design,idea,discourse,symposium,practices,sciences,learning sciences,sharing,new",Fostering Deliberative Discourse in Schools Towards the,"design, future learning spaces, learning communities, sociocultural",2016,"set(['shar', 'communit', 'sympos', 'studio', 'thread', 'learning commun', 'spac', 'knowledg', 'new', 'disco', 'pract', 'sociocult', 'future learning spac', 'learning sci', 'design', 'ide', 'sci'])"
39,"recent israeli science foundation center,giving graduate students direct access,early studies advocated lc models,innovative design called learning niches,distributed authority systems puts,display monitors called “wallscopes,knowledge construction involves local goals,physics classrooms promote active learning,carefully observe life cycles,21st century innovation society,creating communities achieve productivity,organizing distributed discourse entries,targeting life sciences topics,publish productive idea threads,recently phenomenological interviews focused","collaboration,makers,maker,making,makerspaces,blocks,youth,helping,activities,together,air,sarah,episode,make,working",Future Learning Spaces for Learning Communities:,,2018,"set(['sarah', 'episod', 'help', 'work', 'makerspac', 'collab', 'air', 'act', 'mak', 'toge', 'you', 'block'])"
40,,"notes,practices,design,course,note,script,cscl,ethnographic,local,historical,learners,disciplinary,design process,supports,voices",Forms of Emergent Collaboration in Maker-Based Learning,,2017,"set(['loc', 'cour', 'ethnograph', 'script', 'support', 'voic', 'cscl', 'hist', 'pract', 'design', 'learn', 'not', 'disciplinar', 'design process'])"
41,"bolstering nascent spontaneous disciplinary practices,designed technological supports enable groups,study included weekly observations,annotations express reflective processes,unproductively disrupting student life,collaborative note taking tool,master note taker rewrites,note taking enterprise offers,obviate participatory design processes,cultivate core disciplinary practices,ethnography informing cscl design,large undergraduate introductory courses,disciplinary epistemic socialization,infuse disciplinary considerations,design based research collective","formative,formative assessment,course,average,individually,points,group,performance,class,assessment,answers,collaboration,activities,individual,correlation",Self-Organizing Collaborations as Blueprints for CSCL Design,,2017,"set(['cour', 'group', 'form', 'point', 'perform', 'individu', 'act', 'collab', 'answ', 'assess', 'correl', 'av', 'formative assess', 'class'])"
42,"flipped advanced level computer graphics,main groupwork page listing questions,groupwork page showing group responses,offering optional remote attendance,formative assessment activities included collaboration,students developing positive attitudes,groupwork based collaborative assessment activities,traditional individualistic formative assessment,grade versus average individual points,slightly stronger correlation compared,facilitating formative assessment exercises,enforcing individual attempts results,class time includes assessment,based formative assessment activities,results demonstrated positive correlation","dalite,active learning,rationale,iteration,questions,script,active,sections,instructors,instructor,answer,step,student,write,design",GroupWork: Learning During Collaborative Assessment Activities,active learning; peer instruction; design-based experiment; conceptual change.,2015,"set(['active learning; peer instruction; design-based experiment; conceptual change.', 'script', 'dalit', 'it', 'answ', 'rat', 'quest', 'writ', 'sect', 'stud', 'act', 'step', 'design', 'instruct', 'active learn'])"
43,"widely adopted active learning pedagogies,data informed future design decisions,involve large lecture halls,ohio state concept test questions,software application management system,culturally diverse student population,year introductory calculusbased mechanics,reading “choppy” rationales changed,rich smart classroom environment,involved active learning curriculum,based active learning instructional,wrote progressively longer explanations,based learning platform designed,faculty members perceive,evidence suggests mechanisms","lesson,jigsaw,network,discourse,collective knowledge,knowledge advancement,practitioners,student,advancement,knowledge,semantic,teachers,post,group,vocabulary",Beyond and Within Classroom Walls: Designing Principled,"design-based implementation research, lesson study, socio-semantic network analysis,",2018,"set(['adv', 'knowledg', 'group', 'socio-semantic network analysi', 'post', 'teach', 'jigsaw', 'vocabular', 'disco', 'collective knowledg', 'network', 'practit', 'sem', 'stud', 'knowledge advanc', 'lesson', 'design-based implementation research', 'lesson studi'])"
44,"student perspectives constructively induce interaction,typically “unmotivated” students productively engaged,quality college preparatory school,education department provided funding,maximize carbon dioxide fixation,teacher evaluated student 1a,established professional development practice,collaboratively integrate knowledge sources,finding contradicted teacher reflections,investigate collective knowledge advancement,visualization represent vocabulary terms,lesson study practice promoted,supported collaborative learning research,managed practical forest divisions,designing expert group activities","thread,multimedia,threads,group,response,help,frequent,forums,online,maker,rate,poster,posts,text,forum",A New Approach to Lesson Study Practice in Japan,,2017,"set(['group', 'help', 'thread', 'respon', 'text', 'frequ', 'multimed', 'for', 'rat', 'onlin', 'mak', 'post'])"
