,ref,file,length,initial,ref_parsed,year
31,"Noss, R., & Hoyles, C. (1996). Windows on mathematical meanings. Dordrecht: Kluwer.",/import2016full/61,83,N,"Noss, R., & Hoyles, C. (1996)",1996.0
32,"Piaget, J. (1968). Genetic epistemology (E. Duckworth, Trans.). New York: Columbia University Press.",/import2016full/61,100,P,"Piaget, J. (1968)",1968.0
33,"Piaget, J. (1970). Structuralism (C. Maschler, Trans.). New York: Basic Books.",/import2016full/61,78,P,"Piaget, J. (1970)",1970.0
34,"Reinholz, D., Trninic, D., Howison, M., & Abrahamson, D. (2010). It's not easy being green: Embodied artifacts and the guided emergence of mathematical meaning. In P. Brosnan, D. Erchick, & L. Flevares (Eds.), Proc. of PME-NA 32 (Vol. VI, Ch. 18: “Technology,” pp. 1488-1496). Columbus, OH: PME-NA.",/import2016full/61,298,R,"Reinholz, D., Trninic, D., Howison, M., & Abrahamson, D. (2010)",2010.0
35,"Rogoff, B. (1990). Apprenticeship in thinking: Cognitive development in social context. NYC: Oxford U. Press.",/import2016full/61,109,R,"Rogoff, B. (1990)",1990.0
36,"Sarama, J., & Clements, D. H. (2009). “Concrete” computer manipulatives in mathematics education. Child Development Perspectives, 3(3), 145–150.",/import2016full/61,144,S,"Sarama, J., & Clements, D. H. (2009)",2009.0
37,"Saxe, G. B. (2012). Cultural development of mathematical ideas. Cambridge, UK: Cambridge University Press.",/import2016full/61,106,S,"Saxe, G. B. (2012)",2012.0
38,"Schneider, B., Bumbacher, E., & Blikstein, P. (2015). Discovery versus direct instruction. In T. Koschmann, P. Häkkinen, & P. Tchounikine (Eds.), Proc. of CSCL (Vol. 1, pp. 364-371). Gothenburg, Sweden: ISLS.",/import2016full/61,208,S,"Schneider, B., Bumbacher, E., & Blikstein, P. (2015)",2015.0
39,"Sfard, A. (2010). Thinking as communicating. NYC: Cambridge University Press.",/import2016full/61,77,S,"Sfard, A. (2010)",2010.0
40,"Siegler, R. S. (2006). Microgenetic analyses of learning. In D. Kuhn & R. S. Siegler (Eds.), Handbook of child psychology (6th ed., Vol. 2, Cognition, perception, and language, pp. 464-510). Hoboken, NJ: Wiley.",/import2016full/61,210,S,"Siegler, R. S. (2006)",2006.0
41,"Smith, J. P., diSessa, A. A., & Roschelle, J. (1993). Misconceptions reconceived: A constructivist analysis of knowledge in transition. Journal of the Learning Sciences, 3(2), 115-163.",/import2016full/61,184,S,"Smith, J. P., diSessa, A. A., & Roschelle, J. (1993)",1993.0
42,"Thelen, E., & Smith, L. B. (1994). A dynamic systems approach to the development of cognition and action. Cambridge, MA: MIT Press.",/import2016full/61,131,T,"Thelen, E., & Smith, L. B. (1994)",1994.0
43,"Turner, T. (1973). Piaget’s Structuralism (review article). American Anthropologist, 75(2), 351-373.",/import2016full/61,100,T,"Turner, T. (1973)",1973.0
44,"Varela, F. J., Thompson, E., & Rosch, E. (1991). The embodied mind. Cambridge, MA: M.I.T. Press.",/import2016full/61,96,V,"Varela, F. J., Thompson, E., & Rosch, E. (1991)",1991.0
45,"Wertsch, J. V. (1979). From social interaction to higher psychological processes. Human Dev., 22(1), 1-22.",/import2016full/61,106,W,"Wertsch, J. V. (1979)",1979.0
46,"Worsley, M., & Blikstein, P. (2014). Using multimodal learning analytics to study learning mechanisms. In J. Stamper, Z. Pardos, M. Mavrikis, & B. M. McLaren (Eds.), EDM (pp. 431-432). London: Inst. of Ed.",/import2016full/61,205,W,"Worsley, M., & Blikstein, P. (2014)",2014.0
47,"Caillois, R. (1955). The structure and classification of games. Diogenes, 3, 62-75.",/import2016full/59,83,C,"Caillois, R. (1955)",1955.0
48,"Clark, D., Nelson, B., Sengupta, P., & D’Angelo, C. (2009). Rethinking science learning through digital games and simulations: Genres, examples, and evidence. Washington DC: National Research Council.",/import2016full/59,200,C,"Clark, D., Nelson, B., Sengupta, P., & D’Angelo, C. (2009)",2009.0
49,"Colella, V. (2000). Participatory simulations: Building collaborative understanding through immersive dynamic modeling. The Journal of the Learning Sciences, 9(4), 471-500.",/import2016full/59,172,C,"Colella, V. (2000)",2000.0
50,"Danish, J. A., Enyedy, N., Saleh, A., Lee, C., Andrade, A. (2015). Science through Technology Enhanced Play: Designing to support reflection through play and embodiment. In Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P. & Ludvigsen, S. (Eds.) ""Exploring the material conditions of learning: opportunities and challenges for CSCL,"" the Proceedings of the Computer Supported Collaborative Learning (CSCL) Conference, (Vol. 1, pp. 332 – 339). Gothenburg, Sweden: The International Society of the Learning Sciences.",/import2016full/59,521,D,"Danish, J. A., Enyedy, N., Saleh, A., Lee, C., Andrade, A. (2015)",2015.0
51,"Enyedy, N., Danish, J. A., Delacruz, G., & Kumar, M. (2012). Learning physics through play in an augmented reality environment. International Journal of Computer-Supported Collaborative Learning, 7(3), 347378.",/import2016full/59,209,E,"Enyedy, N., Danish, J. A., Delacruz, G., & Kumar, M. (2012)",2012.0
52,"Enyedy, N., Danish, J. A., DeLiema, D. (2015). Constructing liminal blends in a collaborative augmented-reality learning environment. Int'l. Journal of Computer Supported Collaborative Learning, 10(1), 7-34.",/import2016full/59,207,E,"Enyedy, N., Danish, J. A., DeLiema, D. (2015)",2015.0
53,"Erickson, F., & Schultz, J. (1981). When is a context? Some issues and methods in the analysis of social competence. In J. Green & C. Wallat (Eds.), Ethnography and language in educational settings (pp. 147– 160). Norwood, NJ: Ablex.",/import2016full/59,233,E,"Erickson, F., & Schultz, J. (1981)",1981.0
54,"Fauconnier, G., & Turner, M. (1998). Conceptual integration networks. Cognitive Science, 22, 133–187.",/import2016full/59,101,F,"Fauconnier, G., & Turner, M. (1998)",1998.0
55,"Gee, J. P. (2007). Good videogames and good learning: Collected essays on video games. New York, NY: Peter Lang Publishing.",/import2016full/59,123,G,"Gee, J. P. (2007)",2007.0
56,"Goodwin, M. H. (1993). Tactical uses of stories: Participation frameworks within girls’ and boys’ disputes. In D. Tannen (Eds.) Gender and conversational interaction (pp. 110-142). New York: Oxford University Press.",/import2016full/59,215,G,"Goodwin, M. H. (1993)",1993.0
57,"Goffman, E. (1974). Frame analysis: An essay on the organization of experience. Cambridge, MA: Harvard University Press.",/import2016full/59,120,G,"Goffman, E. (1974)",1974.0
58,"Jordan, B. & Henderson, A. (1995). Interaction analysis: Foundations and practice. The Journal of the Learning Sciences, 4(1), 39-103.",/import2016full/59,134,J,"Jordan, B. & Henderson, A. (1995)",1995.0
59,"Lee, V. (Ed.) (2015). Learning technologies and the body: Integration and implementation in formal and informal learning environments. New York: Routledge.",/import2016full/59,155,L,"Lee, V. (Ed.) (2015)",2015.0
60,"Lindgren, R. (2015). Getting into the cue: Embracing technology-facilitated body movements as a starting point for learning. In V. Lee (Ed.), Learning Technologies and the Body: Integration and Implementation in Formal and Informal Learning Environments (Vol. 135). New York: Routledge.",/import2016full/59,286,L,"Lindgren, R. (2015)",2015.0
61,"Nemirovsky, R., Tierney, C., & Wright, T. (1998). Body motion and graphing. Cognition and Instruction, 16(2), 119–172.",/import2016full/59,118,N,"Nemirovsky, R., Tierney, C., & Wright, T. (1998)",1998.0
62,"Ochs, E., Jacoby, S., & Gonzales, P. (1994). Interpretive journeys: How physicists talk and travel through graphic space. Configurations, 2, 151–171.",/import2016full/59,149,O,"Ochs, E., Jacoby, S., & Gonzales, P. (1994)",1994.0
63,"Paik S. H., Kim, H. N., Cho, B. K., Park, J. W. (2004). K-8th grade Korean students’ conceptions of ‘changes of state’ and ‘conditions for changes of state.’ Int J Sci Educ, 26(2), 207–224.",/import2016full/59,189,P,"Paik S. H., Kim, H. N., Cho, B. K., Park, J. W. (2004)",2004.0
64,"Schauble, L., Klopfer, L. E., & Raghavan, K. (1991). Students' transition from an engineering model to a science model of experimentation. Journal of Research in Science Teaching, 28(9), 859-882.",/import2016full/59,195,S,"Schauble, L., Klopfer, L. E., & Raghavan, K. (1991)",1991.0
65,"Schwarz, C. V., Reiser, B. J., Davis, E. A., Kenyon, L., Achér, A., Fortus, D., Shwartz, Y, Hug, B. & Krajcik, J. (2009). Developing a learning progression for scientific modeling: Making scientific modeling accessible and meaningful for learners. Journal of Research in Science Teaching, 46(6), 632-654.",/import2016full/59,304,S,"Schwarz, C. V., Reiser, B. J., Davis, E. A., Kenyon, L., Achér, A., Fortus, D., Shwartz, Y, Hug, B. & Krajcik, J. (2009)",2009.0
66,"Vygotsky, L. S. (1978). Mind in society: the development of higher psychological processes. Cambridge, MA: Harvard University Press.",/import2016full/59,132,V,"Vygotsky, L. S. (1978)",1978.0
68,"Cantrell, S. H., & Hughes, H. K. (2008). Teacher Efficacy and Content Literacy Implementation: An Exploration of the Effects of Extended Professional Development with Coaching. Journal of Literacy Research, 40, 95–127.",/import2016full/66,218,C,"Cantrell, S. H., & Hughes, H. K. (2008)",2008.0
69,"Clarke, D., & Hollingsworh, H. (2002). Elaborating a model of teacher professional growth. Teaching and Teacher Education, 947–967. Gibbons, L. K., & Cobb, P. (n.d.). ""Content-Focused Coaching Practices Implicated in Designing Potentially Productive Coaching Activities to Support Teachers’ Learning.""",/import2016full/66,301,C,"Clarke, D., & Hollingsworh, H. (2002)",2002.0
70,"Joyce, B., & Showers, B. (1982). The Coaching of Teaching. Educational Leadership, 40, 4–16.",/import2016full/66,92,J,"Joyce, B., & Showers, B. (1982)",1982.0
71,"Kapur, K. (2013). The Role of Mentoring in Developing Reflective Practices for CPD. In R. Bolitho, & P. Amol (Eds.), Continuing Professional Development: Lessons from India (pp. 96-107). New Delhi, India: British Council.",/import2016full/66,221,K,"Kapur, K. (2013)",2013.0
72,"Kremer, M., Murlidharan, K., Nazmul, C., Hammer, J., & Rogers, H. F. (2005). Teacher Absence in India: A snapshot. Journal of the European Economic Association, 3(2–3), 658–667.",/import2016full/66,177,K,"Kremer, M., Murlidharan, K., Nazmul, C., Hammer, J., & Rogers, H. F. (2005)",2005.0
73,"Muralidharan, K. (2013, April). Priorities for primary education policy in India’s 12th five-year plan. In India Policy Forum (Vol. 9, pp. 1-46).",/import2016full/66,145,M,"Muralidharan, K. (2013, April)",2013.0
74,"Ottevanger, W. J. W. (2001). Teacher support materials as a catalyst for science curriculum Poglinco, S., Bach, A., H. K., Rosenblum, S., Saunders, M., & Supovitz, J. (2003). The heart of the matter: The coaching model in America’s Choice schools. Consortium for Policy Research in Education, University of Pennsylvania Graduate School of Education.",/import2016full/66,349,O,"Ottevanger, W. J. W. (2001). Teacher support materials as a catalyst for science curriculum Poglinco, S., Bach, A., H. K., Rosenblum, S., Saunders, M., & Supovitz, J. (2003)",2001.0
75,"Putnam, R., & Borko, H. (2000). What do new ways of research and thinking have to say about research on teacher learning ? Educational Researcher, 29(1), 4-15.",/import2016full/66,159,P,"Putnam, R., & Borko, H. (2000)",2000.0
76,"Ramchandran, V., Pal, M., Jain, S., Shekar, S., & Sharma, J. (2005). Teacher Motivation in India. London: DFID.",/import2016full/66,111,R,"Ramchandran, V., Pal, M., Jain, S., Shekar, S., & Sharma, J. (2005)",2005.0
77,"Raval, H., Mckenney, S., & Pieters, J. (2010). A conceptual model for supporting para-teacher learning in an Indian nongovernmental organization. Studies in Continuing Education, 32(3), 217-234.",/import2016full/66,194,R,"Raval, H., Mckenney, S., & Pieters, J. (2010)",2010.0
78,"Tyagi, R. S. (2010). School based instructional supervision and the effective professional development of teachers. Compare: A Journal of Comparative and International Education, 40(1), 111-125.",/import2016full/66,194,T,"Tyagi, R. S. (2010)",2010.0
79,"van den Akker, J., & Voogt, J. (1994). The use of innovation and practice profiles in the evaluation of curriculum implementation. Studies in Educational Evaluation, 20(4), 503-512.",/import2016full/66,181,v,"van den Akker, J., & Voogt, J. (1994)",1994.0
80,"Abrahamson, D. (2009). Embodied design: constructing means for constructing meaning. Educational studies in mathematics, 70(1), 27-47.",/import2016full/50,134,A,"Abrahamson, D. (2009)",2009.0
81,"Alibali, M. W., & Nathan, M. J. (2011). Embodiment in mathematics teaching and learning: evidence from learners' and teachers' gestures. Journal of the learning sciences, 21(2), 247-286.",/import2016full/50,186,A,"Alibali, M. W., & Nathan, M. J. (2011)",2011.0
82,"Arzarello, F., Robutti, O., & Bazzini, L. (2005). Acting Is Learning: Focus on the Construction of Mathematical Concepts. Cambridge Journal of Education, 35(1), 55-67.",/import2016full/50,167,A,"Arzarello, F., Robutti, O., & Bazzini, L. (2005)",2005.0
83,"Bakker, S., Antle, A. N., & Van Den Hoven, E. (2012). Embodied metaphors in tangible interaction design. Personal and Ubiquitous Computing, 16(4), 433-449.",/import2016full/50,155,B,"Bakker, S., Antle, A. N., & Van Den Hoven, E. (2012)",2012.0
84,"Carbonneau, K. J., Marley, S. C., & Selig, J. P. (2012). A meta-analysis of the efficacy of teaching mathematics with concrete manipulatives. Journal of Educational Psychology, 105(2), 380-400.",/import2016full/50,193,C,"Carbonneau, K. J., Marley, S. C., & Selig, J. P. (2012)",2012.0
85,"Edwards, L. D. (2009). Gestures and conceptual integration in mathematical talk. Educational studies in mathematics.",/import2016full/50,116,E,"Edwards, L. D. (2009)",2009.0
86,"Goldin-Meadow, S., Kim, S., & Singer, M. (1999). What the teacher's hands tell the student's mind about math. Journal of Educational Psychology, 91(4), 720.",/import2016full/50,156,G,"Goldin-Meadow, S., Kim, S., & Singer, M. (1999)",1999.0
87,"Kövecses, Z. (2008). Conceptual metaphor theory Some criticisms and alternative proposals. Annual review of cognitive linguistics, 6(1), 168-184.",/import2016full/50,145,K,"Kövecses, Z. (2008)",2008.0
88,"Lakoff, G., & Johnson, M. (1980). Metaphors we live by (Vol. 111): Chicago London.",/import2016full/50,82,L,"Lakoff, G., & Johnson, M. (1980)",1980.0
89,"Manches, A., & Dragomir, M. (2015). Gesture as a means to examine the role of physical interaction in early numerical development. Paper presented at the 2015 annual meeting of the AERA, Chicago, US.",/import2016full/50,199,M,"Manches, A., & Dragomir, M. (2015)",2015.0
90,"Manches, A., & O'Malley, C. (2016). The Effects of Physical Manipulatives on Children’s Numerical Strategies. Cognition and Instruction, 34(1), 27-50.",/import2016full/50,150,M,"Manches, A., & O'Malley, C. (2016)",2016.0
91,"Martins-Mourao, A., & Cowan, R. (1998). The Emergence of Additive Composition of Number. Educational Psychology, 18(4), 377-389.",/import2016full/50,128,M,"Martins-Mourao, A., & Cowan, R. (1998)",1998.0
92,"McNeil, N. M., & Jarvin, L. (2007). When theories don't add up: disentangling the manipulatives debate. Theory into Practice, 46(4), 309-316.",/import2016full/50,141,M,"McNeil, N. M., & Jarvin, L. (2007)",2007.0
93,"McNeill, D. (1992). Hand and mind: what gestures reveal about thought. Chicago: University of Chicago Press.",/import2016full/50,108,M,"McNeill, D. (1992)",1992.0
94,"Murphy, C. (2011). Comparing the use of the empty number line in England and the Netherlands. British Educational Research Journal, 37(1), 147-161.",/import2016full/50,147,M,"Murphy, C. (2011)",2011.0
95,"Nunes, T., Bryant, P., Evans, D., Bell, D., Gardner, S., Gardner, A., & Carraher, J. (2007). The contribution of logical reasoning to the learning of mathematics in primary school. British Journal of Developmental Psychology, 25, 147-166.",/import2016full/50,238,N,"Nunes, T., Bryant, P., Evans, D., Bell, D., Gardner, S., Gardner, A., & Carraher, J. (2007)",2007.0
96,"Núñez, R., & Lakoff, G. (2000). Where mathematics comes from. New York: Basic books.",/import2016full/50,84,N,"Núñez, R., & Lakoff, G. (2000)",2000.0
97,"Núñez, R., Marghetis, T., Cohen-Kadosh, R., & Dowker, K. (2014). Cognitive Linguistics and the Concept (s) of Number: Oxford Handbook of Numerical Cognition. Oxford University Press.",/import2016full/50,182,N,"Núñez, R., Marghetis, T., Cohen-Kadosh, R., & Dowker, K. (2014)",2014.0
98,"Pouw, W. T., van Gog, T., & Paas, F. (2014). An embedded and embodied cognition review of instructional manipulatives. Educational Psychology Review, 26(1), 51-72.",/import2016full/50,163,P,"Pouw, W. T., van Gog, T., & Paas, F. (2014)",2014.0
99,"Roth, W.-M. (2002). From action to discourse: The bridging function of gestures. Cognitive Systems Research, 3(3), 535-554.",/import2016full/50,123,R,"Roth, W.-M. (2002)",2002.0
100,"Segal, A. (2011). Do gestural interfaces promote thinking? Embodied interaction: Congruent gestures and direct touch promote performance in math. (Doctoral Thesis), Columbia University.",/import2016full/50,185,S,"Segal, A. (2011)",2011.0
101,"Tellier, M. (2009). The development of gesture. In K. de Bot & R. Schrauf (Eds.), Language development over the lifespan (pp. 191-216): Routledge.",/import2016full/50,146,T,"Tellier, M. (2009)",2009.0
102,"Wilson, M. (2002). Six views of embodied cognition. Psychonomic Bulletin & Review, 9(4), 625-636.",/import2016full/50,97,W,"Wilson, M. (2002)",2002.0
103,"Barron, B. (2000). Achieving coordination in collaborative problem-solving groups. The Journal of the Learning Sciences, 9(4), 403–436.",/import2016full/68,135,B,"Barron, B. (2000)",2000.0
104,"Bransford, J. D., & Schwartz, D. L. (1999). Rethinking transfer: A simple proposal with multiple implications. Review of research in education, 24, 61-100.",/import2016full/68,155,B,"Bransford, J. D., & Schwartz, D. L. (1999)",1999.0
105,"Jermann, P., Mullins, D., Nüssli, M.-A., & Dillenbourg, P. (2011). Collaborative gaze footprints: correlates of interaction quality. CSCL2011 Conference Proceedings., Volume I - Long Papers, 184–191.Mason, L.,",/import2016full/68,209,J,"Jermann, P., Mullins, D., Nüssli, M.-A., & Dillenbourg, P. (2011)",2011.0
106,"Pluchino, P., & Tornatora, M. C. (2015). Eye-movement modeling of text and picture integration during reading: Effects on processing and learning. Contemporary Educational Psych., 14, 172-187.",/import2016full/68,192,P,"Pluchino, P., & Tornatora, M. C. (2015)",2015.0
107,"Mundy, P., Sigman, M., & Kasari, C. (1990). A longitudinal study of joint attention and language development in autistic children. Journal of Autism and Developmental Disorders, 20(1), 115–128.",/import2016full/68,193,M,"Mundy, P., Sigman, M., & Kasari, C. (1990)",1990.0
108,"Richardson, D. C., & Dale, R. (2005). Looking to understand: The coupling between speakers’ and listeners’ eye movements and its relationship to discourse comprehension. Cog. Science, 29(6), 1045–1060.",/import2016full/68,201,R,"Richardson, D. C., & Dale, R. (2005)",2005.0
109,"Salomon, G., & Globerson, T. (1989). When teams do not function the way they ought to. International Journal of Educational Research, 13(1), 89–99.",/import2016full/68,147,S,"Salomon, G., & Globerson, T. (1989)",1989.0
110,"Schneider, B., & Pea, R. (2013). Real-time mutual gaze perception enhances collaborative learning and collaboration quality. Int. Journal of Computer-Supported Collaborative Learning, 8(4), 375–397.",/import2016full/68,198,S,"Schneider, B., & Pea, R. (2013)",2013.0
111,"Schneider, B., Sharma, K., Cuendet, S., Zufferey, G., Dillenbourg, P., & Pea, R. (2015). 3D Tangibles Facilitate Joint Visual Attention in Dyads. CSCL2015 Conference Proceedings., Volume I, 158-165.",/import2016full/68,198,S,"Schneider, B., Sharma, K., Cuendet, S., Zufferey, G., Dillenbourg, P., & Pea, R. (2015)",2015.0
112,"Tomasello, M. (1995). Joint attention as social cognition. In C. Moore & P. J. Dunham (Eds.), Joint attention: Its origins and role in development (pp. 103–130). Hillsdale, NJ: Lawrence Erlbaum.",/import2016full/68,194,T,"Tomasello, M. (1995)",1995.0
113,"Andrade, A. (2015). Using Situated-Action Networks to Visualize Complex Learning. In Oskar Lindwall, Päivi Häkkinen, Timothy Koschmann, Pierre Tchounikine, & S. Ludvigsen (Eds.), Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference (Vol. 1). Gothenburg, Sweden: The International Society of the Learning Sciences.",/import2016full/57,371,A,"Andrade, A. (2015)",2015.0
114,"Brown, J. S., Collins, A., & Duguid, P. (1989). Situated cognition and the culture of learning. Educational Researcher, 18(1), 32.",/import2016full/57,130,B,"Brown, J. S., Collins, A., & Duguid, P. (1989)",1989.0
115,"Cole, M. (1996). Cultural psychology: A once and future discipline: Harvard University Press.",/import2016full/57,93,C,"Cole, M. (1996)",1996.0
116,"Engeström, Y. (1987). Learning by expanding. An activity-theoretical approach to developmental research. Helsinki: Orienta-Konsulti Oy.",/import2016full/57,135,E,"Engeström, Y. (1987)",1987.0
117,"Ito, M., Gutierrez, K., Livingstone, S., Penuel, B., Rhodes, J., Salen, K., . . . Watkins, S. C. (2013). Connected learning: An agenda for research and design: Digital Media and Learning Research Hub.",/import2016full/57,200,I,"Ito, M., Gutierrez, K., Livingstone, S., Penuel, B., Rhodes, J., Salen, K., . . . Watkins, S. C. (2013)",2013.0
118,"Lave, J., & Wenger, E. (1991). Situated learning: Legitimate peripheral participation: Cambridge Univ Pr.",/import2016full/57,105,L,"Lave, J., & Wenger, E. (1991)",1991.0
119,"Marin, A., Wellman, B., Scott, P., & Carrington, P. (2011). Social network analysis: An introduction. Scott J, Carrington PJ, editors. The SAGE Handbook of Social Network Analysis, 11-25.",/import2016full/57,187,M,"Marin, A., Wellman, B., Scott, P., & Carrington, P. (2011)",2011.0
