,0
import2018_178,Changes in Students’ Use of Epistemic Criteria in Model Evaluation
import2017_41,Think First: Fostering Substantive Contributions in
import2017_40,On the Adoption of Social Network Analysis Methods
import2017_43,Revealing Interaction Patterns Among Youth in an
import2017_42,Finding the Community in Online Education:
import2017_45,Integrating Physical and Virtual Models in Biology: A Study of
import2017_44,Analyzing Students’ Collaborative Regulation Behaviors in a
import2017_47,Scripting and Orchestrating Learning Communities:
import2017_46,High Accuracy Detection of Collaboration From Log Data and
import2017_49,Who Signs Up and Who Stays? Attraction and Retention in an
import2017_48,Individual Versus Shared Design Goals in a Graph Construction
import2016full_10,Combining Exploratory Learning With Structured Practice to
import2018_278,Life-long Life-wide Learning Within and Beyond the Disciplines
import2018_508,Scaffolding Peer Facilitation in Computer-Supported ProblemBased Learning Environments
import2015full_276,Grappling with the Not-Yet-Known
import2016full_11,The Effects of Self-Regulated Learning on Students’ Performance
import2018_227,Taking on the Challenges of Learning in the Digital Age:
import2016full_15,Training Learners to Self-Explain: Designing Instructions and
import2018_390,The Difference That Counts: Guiding Knowledge Exchange by
import2016full_18,The Interactional Work of Configuring a Mathematical Object in a
import2015short_363,Collaborative or Individual Learning within Productive Failure:
import2015short_364,Resource Usage in Online Courses:
import2015short_209,Mixing In-Class and Online Learning: Content Meta-Analysis of
import2018_501,Towards a Framework for Smart
import2015short_206,The Burden of Facilitating Collaboration: Towards Estimation of
import2015short_204,Epistemography and Professional CSCL Environment Design
import2018_32,Sequencing Support for Sense Making and Perceptual Fluency with
import2015full_353,Design in Game-Based Learning
import2018_334,The Role of Instructional Goal Setting for Teaching Computational
import2018_426,"Rituals, Explorations, and Cultural Resources in the Mathematics"
import2018_517,"Understanding, Redefining, and Designing for Broadening"
import2018_516,Young Children’s Inquiry Within and Across Settings
import2018_515,Identifying Expansive Learning in Democratic Activity: A
import2018_514,Understanding the Role of Embodied Interaction in Preschool
import2018_513,Studying the Process of Instructional Improvement Through the
import2018_512,Reasoning About Uncertainty and Efficient Decision-making in
import2018_511,Politicization as Learning:
import2018_459,Mentors in the Making: A Case Study of Heterogeneity in Meaning
import2018_456,Teaching and Learning Using Virtual Reality: Identifying and
import2018_457,Teacher’s Re-design of Virtual Reality Based Curriculum in an
import2015full_126,Principle-Based Guidance to Foster Adaptive Teaching Practice
import2018_455,Introducing Bifocal Modeling Framework in Elementary School
import2016full_69,Communication Patterns and Their Role for Conceptual
import2016full_68,Detecting Collaborative Dynamics Using Mobile Eye-Trackers
import2015full_122,The 3R Orchestration Cycle:
import2018_518,Creativity as a Lens to Frame Teachers’ Use of Games for Learning
import2015short_105,“That’s What Everyone Else Is Saying…”:
import2016short_151,Designing for Effective Collaborative Learning in High-Needs Rural
import2016short_157,The Effect of Scaffolding on the Immediate Transfer of Students’
import2018_470,Engaging With Climate Change as a Socioscientific Issue in an
import2018_429,Influence of Perceptions of Past Collaborative Experiences on
import2018_428,Exploring Teacher Presence During Social Regulation of Learning
import2016full_42,Metaphors Are Projected Constraints on Action:
import2016short_170,Exploring the Value of Drawing in Learning and Assessment
import2016short_171,Designing Learning Contexts Using Student-Generated Ideas
import2016short_172,Moving Ahead in the Study of STEM Interests and Interest
import2016short_173,Fostering Deliberative Discourse in Schools Towards the
import2016short_174,The Learning Sciences @ Scale:
import2016short_158,Exploring the Relationship Between Gesture and Student
import2016short_176,Researchers and Practitioners Co-Designing for Expansive
import2016short_177,Teachers and Professional Development:
import2018_331,Translating Theory to Practice: Technology Solutions to Solve
import2016short_159,Sketching a Pathway Through Design Worlds: Multimodal
import2015full_222,Investigating Collaborative Reflection with Peers
import2015full_221,What Kind of World Do You Want to Live In? Positive
import2016short_153,Teacher Noticing Associated With Responsive Support of
import2016full_46,Integrating Science and Writing in Multimedia Science Fictions:
import2018_218,Influence of Affective Factors on Practices in Simulated Authentic
import2018_350,A Look at the First Two Years of a 5-Year Longitudinal Study of an
import2018_353,The Santa Trap: When Scaffolding is Not Enough to Challenge
import2018_352,Uncertainty Management in Science Argumentation
import2018_355,Personal Experience and Emotion in Making Sense of Literary Texts
import2016full_45,Investigating Effects of Embedding Collaboration in an Intelligent
import2018_357,BioSCANN: A Collaborative Learning Platform That Scaffolds
import2018_356,Frictional Patterns in the Design of Games for Learning
import2018_359,“My Favorite Part Is When We Tell the Truth”: Identity and Agency
import2018_211,Learning with Multi-Representational Texts in a Second Language:
import2018_212,Examining Virtual Reality Based Learning Design for Children with
import2018_213,Emergent Leadership and Its Influence on Collaborative and
import2018_214,“I’m Going to Fail”: How Youth Interpret Failure Across Contextual
import2018_215,Science Teachers’ Communities of Practice and Policy
import2018_216,Students’ Everyday Experiences as Resources
import2018_217,Will Time Tell? Exploring the Relationship Between
import2017_85,Building Arguments Together or Alone?
import2017_84,Productive Knowledge Building Discourse Through StudentGenerated Questions
import2017_87,Integrating Social Problem Solving with Programming to Enhance
import2017_86,Effects of Perspective-Taking Through Tangible Puppetry in
import2017_81,Embracing Learners With Visual Impairments in CSCL
import2017_80,Reflections on Pair E-Crafting: High School Students’ Approaches
import2017_83,Engaging Everyday Science Knowledge to Help Make Sense of
import2017_82,Appropriating a Climate Science Discourse About Uncertainty in
import2017_89,Showing and Telling:
import2017_88,Symbiotic Learning Partnerships in Youth Action Sports
import2016full_49,How Do We Assess Equity in Programming Pairs?
import2016short_109,Mathematical Argumentation and Proof –
import2016short_108,Learning the Learning Sciences:
import2016full_48,The Learning Experiences of Youth Online Information Brokers
import2018_425,A Method for Determining the Extent of Recent Temporal Context in
import2015short_403,"Learning Resilience in the Face of Bias: Online Gaming, Protective"
import2018_28,Redistributing Epistemic Agency: How Teachers Open Up Space
import2018_29,Examining the Role of Explicit Epistemic Reflection in Promoting
import2018_26,Learning From Errors – The Effect of Comparison Prompts in
import2018_27,Identifying Reflective and Non-Reflective Group Consensus
import2018_24,Learning Nanoscience Concepts Through a Nanoscale Experience
import2018_25,Chinese Character Composition Game for Collaborative Language
import2018_22,Flow in Computer-Supported Collaborative Problem-Solving
import2018_23,Epistemic Agency as a Members’ Experience
import2018_20,STEAM Learning in an In-school Makerspace: The Role of
import2018_21,Secondary Students’ Evaluation of Inappropriate Strategies of
import2018_409,"Measuring Students Epistemic Understanding of, and Beliefs"
import2017_18,Anchored Annotations to Support Collaborative Knowledge
import2017_19,Collaborative Game Design: A Bounded Case Study of
import2017_16,Learning Alone or Together? A Combination Can Be Best!
import2017_17,Predicting Success in Massive Open Online Courses (MOOCs)
import2017_14,Educational Technology Support for Collaborative Learning With
import2017_15,Whose Culture Is It?
import2017_12,Technology-Mediated Teacher Noticing: A Goal for Classroom
import2015short_321,‘Re-mediating’ Learning
import2017_10,Secondary School Peer-to-Peer Knowledge Sharing Through Social
import2017_11,Collective Knowledge Advancement and
import2015full_372,Maximizing Benefit of Peer-Feedback
import2015short_404,Fostering Discussion across Communication Media
import2018_434,Design Based Research Approaches Towards Enhancing Social
import2015short_407,Tools for Tracing the Development of Concepts through
import2018_435,Problematic Instruments:
import2016short_169,Building on Cultural Capacity for Innovation Through
import2015full_313,Science Through Technology Enhanced Play: Designing to
import2018_436,"Don’t Just Do It, Explain It: A 5th Grade Worked Examples"
import2018_437,Multimodal Engineering Design Notebooks and
import2016short_150,Situating Deep Multimodal Data on Game-Based STEM Learning
import2018_194,Knowledge Building Inquiry and Reflection in
import2018_430,Playing With Fractions on an Interactive Floor: An Exploratory
import2018_431,Mapping Student Reasoning in Support of Mathematics Teacher
import2015short_250,Looking AT versus Looking THROUGH:
import2015short_252,The Mediating Role of Interactive Learning Activities in CSCL:
import2015short_254,Orchestration Challenges Raised by Transposing a Paper-Based
import2018_432,The Visual Test of Science Identity (VTSI)
import2018_433,Creating a Visual Representation of Expert Strategies to Inform the
import2018_318,Learner Expertise and Emotional Design in Multimedia Learning
import2018_412,A Continuum of Knowledge Structures in an Observation-Based
import2018_413,How Do Kindergarten and Primary School Children Justify Their
import2018_410,Tracking the Flow of Discussion Topics in an Inquiry Science Unit
import2018_411,Supporting the Development of Teacher Candidate Formative
import2018_416,An Enhanced Framework for Scale Cognition Leveraging Visual
import2018_417,Visualizing Complex Classrooms Through Real Time Observations
import2018_414,Transporting Knowledge: A Case Study of Meaning Making on the
import2018_415,Connected Cosplay: Fan Work as Pathways Toward Opportunity
import2018_418,Learning With Songo: The African Board Game
import2018_419,Defining Alternative as More Than At-Risk: Youth Defined
import2016short_138,Comparing Students’ Solutions When Learning Collaboratively or
import2016short_139,Student Conceptions of Expertise
import2015full_364,Resource Usage in Online Courses:
import2015full_169,Beyond Pedagogical Challenges: Addressing the Social Aspects
import2016full_8,Multiple Legitimate Language Games in Family Serendipitous
import2016full_9,Scientific Reasoning and Problem Solving in a Practical Domain:
import2015full_162,Boundary Interactions: Resolving Interdisciplinary Collaboration
import2015full_165,Design Features for Computer-Supported Complex Systems
import2018_472,Criss Crossing Science Domains in Knowledge Building
import2015full_167,A Long-Term View on Learning to Argue in Facebook:
import2018_408,The Effect of Inhibiting Hand Gestures on Mathematical Reasoning
import2018_192,Developing Productive Discourse among Low Achievers in a
import2018_424,Identifying Shifts in Agency by Analyzing Authority in Discussion
import2018_82,Teachers’ Values in Co-Design of an Art-Science-Computation Unit
import2018_473,“How Do We Pack the World Into Words?” Examining the Collective
import2018_395,Using a Video-Based Approach to Develop Pre-Service Science
import2018_394,“Things Are Made to Fail”: Constructive Failures in a Middle School
import2018_397,Effects of Expertise on Teachers’ Technology-Supported Teaching
import2018_396,Videocase Complexity and Preservice Teacher Noticing: Examining
import2018_258,Teachers Collaboratively Creating Micro-Credentials for
import2015short_178,Examining the Real and Perceived Impacts of a Public Idea
import2018_528,Exploring the Definition and Measurement of Collaborative Problem
import2018_529,Making Energy Easy: Interacting With the Forces Underlying
import2018_526,Collaborative Writing in Higher Education: Investigating the
import2018_255,Co-Navigating Mobilized Student Inquiry Across Multiple Contexts
import2018_524,Using Multiple Embodied Representations to Support Learners in
import2018_257,Open Discussions of Cultural-Historical Activity Inquiry Questions
import2018_399,Supporting SEL in Progressive Design Contexts
import2018_398,Space for All: Learner Self-Construct While Learning
import2018_252,Dealing With Changes and Challenges:
import2018_521,Supporting Undergraduate Bioscience Learners in Problem-Solving
import2018_72,In the Hive: Designing for Emergence When Teaching Complex
import2015full_262,How Learners Employ Semiotic Resources for
import2018_253,How Does Expansive Curricular Framing Support Productive
import2015full_268,Modeling Performance in Asynchronous CSCL: An Exploration of
import2018_342,ORBIT - Overcoming Breakdowns in Teams With Interactive
import2016short_126,Problems With Different Interests of Learners in an Informal CSCL
import2018_343,Growing Teamwork Competency: A Mixed Methods Study of an
import2015short_320,Peer Scaffolding to Learn Science in
import2018_76,Multimodal Texts and Tasks in Elementary Project-based Science
import2017_13,Girls’ Interest in Computing: Types and Persistence
import2016full_38,Development of Disciplined Interpretation Using Computational
import2016full_39,"Mobilities of Criticality: Space-Making, Identity and Agency in a"
import2015short_154,The Development of Situational-Misconceptions
import2016full_32,No One Ever Steps in the Same Discussion Twice: The
import2016full_33,“Hearts Pump and Hearts Beat”: Engineering Estimation as a
import2016full_30,"Situated Learning, Situated Knowledge: Situating Racialization,"
import2016full_31,Opportunities to Learn Through Design:
import2016full_36,Joint Idea-Building in Online Collaborative Group Discussions
import2016full_37,How Socio-Cognitive Information Affects Individual Study
import2016full_34,“Doing Double Dutch”: Becoming Attuned to Rhythms of
import2016full_35,Towards a Framework of Pedagogical Paradoxes: A
import2016short_125,Teamwork in the Balance: Exploratory Findings of Teamwork
import2015full_217,Dragging as a Referential Resource for Mathematical Meaning
import2015short_287,Immersive Simulation on Collaborative Learning
import2018_329,Curiosity Practice: A Powerful New Lever for Fostering Science
import2015short_285,Navigating Connected Inquiry Learning with ScienceKit
import2018_378,Learning Loops: Affordances and Challenges of Project Bloks
import2015short_280,Beyond and Within Classroom Walls: Designing Principled
import2018_320,Mentor Academy: Engaging Global Learners in the
import2018_321,The Student-Produced Electronic Portfolio in Craft Education
import2016full_47,"Process and Output: Relation Between Transactivity, Temporal"
import2018_323,Social Comparison Theory as Applied to MOOC Student Writing:
import2018_324,Can Speaking Make Learning Easier? Verbal Rehearsal Effects on
import2018_42,"Youth, Learning and Social Media in K-12 Education:"
import2018_326,A New Facet: Building Multifaceted Engineering Identity
import2018_327,Pre-Service Teachers’ Perspectives on Computer Science
import2016full_87,Scaffolding Into Ambitious Teaching: Representations of
import2016full_86,“I’m Not Just a Mom”: Parents Developing Multiple Roles in
import2016full_85,“I Think We Were Pretty Powerful This Summer as Scientists”:
import2016full_84,Design Collaborative Formative Assessment for Sustained
import2016full_83,Realizing Research-Practice Connections:
import2016full_82,In Search of Conversational Grain Size:
import2016full_81,Stories as Prototypes for Interdisciplinary Learning
import2016full_80,"Community Knowledge, Collective Responsibility: The Emergence"
import2018_62,"Collaboration Scripts Should Focus on Shared Models, Not on"
import2018_221,Designing an Educative Curriculum Embedded Within an
import2018_68,Collaborative Gesture as a Case of Distributed Mathematical
import2018_69,Professional Development for Secondary Science Teachers: A
import2016full_89,The Obj–Subj Dialectic and the Co-Construction of Hierarchical
import2016full_88,Self-Directed Learning in Science Education:
import2015full_182,3D Tangibles Facilitate Joint Visual Attention in Dyads
import2017_53,Mobile City Science:
import2017_50,Creating Parentopia: Design-Based Research to Develop an
import2017_51,How Middle School Students Construct and Critique Graphs to
import2017_56,Inclusive Collaborative Learning With Multi-Interface Design:
import2017_57,Investigating Immersion in Relation to Students’ Learning
import2017_54,Scientific Discourse of Citizen Scientists:
import2015full_185,Fostering Sustained Knowledge Building through Metadiscourse
import2017_58,A Self-Organizing Network of Schools That Transform Teacher
import2017_59,A Meta-Synthesis of CSCL Literature in STEM Education
import2016short_123,Let Your Data Tell a Story: Disciplinary Expert Feedback Locates
import2018_370,Towards a Critical Sociocultural Theory of How Teachers
import2018_231,Critique Processes in Digital Journalism
import2016short_122,Exploring the Composition Process of Peer Feedback
import2018_374,Europa Universalis IV the Grandest LAN Party: A Case Study
import2016full_44,Expanding Outcomes: Exploring Varied Forms of Teacher
import2018_219,From Quantified Self to Building a More Fit Community: Data
import2015short_218,Fostering and Reflecting on Diverse Perspective-Taking in
import2015short_350,Promoting Interaction by Integrating a Question and Answer Forum
import2015short_353,Design in Game-Based Learning
import2016short_121,A Qualitative Exploration of Self- and Socially Shared Regulation
import2018_63,Comparing First- and Third-Person Perspectives in Early
import2015short_217,Dragging as a Referential Resource for Mathematical Meaning
import2015short_213,Concept Mapping Narratives to Promote CSCL and
import2015short_391,Activity Design Models to Support the Development of High Quality
import2018_169,Cultural Repertoires:
import2015full_320,Peer Scaffolding to Learn Science in
import2015full_321,‘Re-mediating’ Learning
import2015short_393,From Lurking to Participatory Spectatorship:
import2018_279,"Assessing Prerequisites and Processes of Self-, Co- and Shared"
import2018_171,From Theory to Practice: How Pre-service Science Teachers Learn
import2018_61,A Study of Collaborative Knowledge Construction in STEM via
import2018_230,Developing a Library of Typical Problems During Collaborative
import2018_172,Design Considerations for Capturing Computational Thinking
import2018_290,Making Energy Easy: Interacting with the Forces Underlying
import2018_291,Elementary Science Preservice Teachers’ Use of Evidence From
import2018_292,Using Machine Learning Techniques to Capture Engineering
import2018_293,Mapping Research and Writing Mentorship Assemblages in a Mixed
import2018_449,Projected Worlds:
import2018_448,When Is It Safe Enough? Considering Diversity and Equity When
import2018_296,Competing Epistemologies in the Construction of Popular Science
import2018_297,Measuring Integrated Knowledge – A Network Analytical Approach
import2018_298,Comparison of 3D Display Technologies for Embodied Interaction
import2018_299,Contextual Dimensions of an Ambient Intelligent Classroom
import2018_447,Authentic to Whom and What? The Role of Authenticity in ProjectBased Learning in English Language Arts
import2018_446,Turning to Experience Negative Signs as Operations
import2018_441,From Computational Thinking to Computational Action:
import2018_440,Exploring Ideological Becoming for Youth of Diverse Backgrounds:
import2016full_78,Fostering University Freshmen’s Mathematical Argumentation
import2016full_79,Coordinating Collaborative Chat in Massive Open Online Courses
import2015short_139,Co-construction of Knowledge Objects in
import2015full_136,Connected Biology: A Usability Study of Web 2.0 Tools
import2018_427,Investigating Third Grade Students’ Collaboration in Project-Based
import2018_330,The Assessment of Digital Reading Skills With Cognitive Diagnose
import2015full_105,“That’s What Everyone Else Is Saying…”:
import2015short_137,Playing with Gameful Activities and Assessments:
import2015short_136,Connected Biology: A Usability Study of Web 2.0 Tools
import2017_113,Toward a Multi-Level Knowledge Building Innovation Network
import2018_184,Encouraging Revision of Scientific Ideas with Critique in an Online
import2018_185,Designing Dialogues on Writing and College Readiness Across
import2018_186,Power in the Digital Age: A Critical Revision to Productive
import2018_187,Design Matters: The Impact of Technology Design on Students’
import2016short_149,What Are Crosscutting Concepts in Science? Four Metaphorical
import2016short_148,Exploring Visualization and Tagging to Manage Big Datasets for
import2018_222,Socio-Emotional Regulation in Knowledge Building
import2018_183,Do Alternative Instructional Approaches Result in Different
import2016short_145,Iterative Curricular Design of Collaborative Infographics for
import2016short_144,Exploring Middle School Students’ Science Learning and
import2016short_147,Mauá Project: Citizenship and Environment Educational as
import2016short_146,Findings
import2018_188,Engineering Discourse Development in an Informal YouthDriven Maker Club
import2018_189,The Influence of Students’ Transformative and Non-Transformative
import2016short_143,Agentic Trajectories: Development and Learning in a ProjectBased High School for Marginalized Students
import2016short_142,Designing Outdoor Learning Spaces With iBeacons: Combining
import2016full_76,Embodied Cognition in Observational Amateur Astronomy
import2018_208,Blending Mathematical and Physical Negative-ness
import2018_369,Learning Engineering Practices Through Drones:
import2016full_77,Designing a Data-Centered Approach to Inquiry Practices With
import2018_364,Learning to Think Computationally: Comparative
import2018_365,Measuring Maker Mindset: Establishing Content Validity With Card
import2018_366,Preparing Students for Learning Statistics with Adventure Game:
import2018_367,Recounting Counting: Self-Appraisal in Math-Adjacent Discourse
import2018_360,Examining the Role of Unpacking 3-Dimensional Teaching and
import2018_361,The Impact of a Lego Exhibit on Awareness of the Roles and
import2015full_250,Looking AT versus Looking THROUGH:
import2018_363,Bridging Multiple Ecologies to Support and Research Learning in
import2018_207,Failure to Replicate Using Dialogue Videos in Learning: Lessons
import2018_206,“But We Don’t Have Beta-Cells”: Agent-Based Models to Support
import2018_205,Researcher or Fellow Citizen?
import2018_204,Making Learning Journeys Visible:
import2018_203,Drawing for Learning from Dynamic Visualizations in Science
import2018_202,Dynamic Exploration on Self-Explanation Prompts in Complex
import2018_201,Preschool-Age Children Practicing Science: Intersections of
import2018_200,Combining Non-Programming Activities With Programming for
import2018_166,A New Approach to Lesson Study Practice in Japan
import2018_167,Evaluating Innovative Collaborative Learning Practice:
import2018_209,Exploring Design Trade-offs in Incorporating Making Activities Into
import2018_295,The Effects of Inquiry-Based Learning in Higher Education
import2017_96,Examining Positive and Negative Interdependence in an Elementary
import2017_97,Transgressing Ideologies of Collaborative Learning and Working
import2017_94,Challenges in Implementing Small Group Collaboration in Large
import2017_95,Collaborative Intelligent Tutoring Systems: Comparing Learner
import2017_92,Preparing Pre-Service Early Childhood Teachers to Teach
import2016full_70,Competency-Based Digital Badges and Credentials:
import2017_90,Instant Sharing Makes Task More Engaging in Computer Aided
import2017_91,The Digital Use Divide and Knowledge Building
import2015short_158,Dialogism:
import2016full_71,Scaling Up Productive Disciplinary Engagement With
import2017_98,A Preliminary Study of University Students’ Collaborative Learning
import2017_99,Reflective Structuration of Knowledge Building Practices in
import2018_351,Talking Past One Another: Looking for Signs of Conversational
import2018_445,LGBT+ in STEM: The Transgender Experience
import2018_444,Design-Activity-Sequence: A Case Study and Polyphonic Analysis
import2015short_313,Science Through Technology Enhanced Play: Designing to
import2015short_312,"Social Interaction, Constructivism and their Application"
import2015short_315,Learning about Team Members’ Preferences:
import2018_60,Expanding the Maker Movement by Recentering “Building for
import2018_443,"""This Is for Boys. You Did It?"": Agency Under Construction in a"
import2018_442,Scientists Expand Professional Vision Through Outreach With
import2016full_74,Supporting Elementary Students’ Science Learning Through
import2018_19,Exploring Predictors of Secondary School Teachers’ Use of
import2018_18,Is Scrolling Disrupting While Reading?
import2018_13,The Effect of the Prior Collaborative Experience on the
import2018_12,Informing the Design of Teacher Awareness Tools Through Causal
import2018_11,Determinants of School Level Success in Design-Based Innovation
import2018_10,Designing Technology as a Cultural Broker for Young Children:
import2018_17,Toward a Taxonomy of Team Performance Visualization Tools
import2018_16,Authentic Problem-Based Learning With Augmented Reality
import2018_15,The Influence of Students’ Cognitive and Motivational
import2018_14,Encountering and Becoming Role Models: Combating
import2017_29,"Learning Biology Coherently Through Complex Systems, Scientific"
import2017_28,A Mixed-Methods Approach for Studying Collaborative Learning
import2017_23,Exploring a Text-Mining Approach as Rapid Prototyping Tool for
import2017_22,Creating Socially Relevant Mobile Apps: Infusing Computing into
import2017_21,Articulating Uncertainty Attribution as Part of
import2017_20,Which Visualization Guides Learners Best? Impact of Available
import2017_27,Dual Gaze as a Proxy for Collaboration in Informal Learning
import2017_26,Making the Invisible Visible: A New Method for Capturing Student
import2017_25,Collaborative Scientizing in Pokémon GO Online Communities
import2017_24,Beyond Demographic Boxes: Relationships Between Students’
import2016short_134,Learning to Argue: The Role of Peer Assessment
import2016short_135,Newcomer Integration in Online Knowledge Communities:
import2016short_136,Is Small Group Collaboration Beneficial in Large Scale Online
import2016short_137,"other students”; Cronbach’s α = .91), and individualistic attitudes (7 items, e.g., “I don't like working with other"
import2016full_72,Providing Adaptive Scaffolds and Measuring Their Effectiveness
import2016short_130,Unpacking Social Factors in Mechanistic Reasoning
import2016short_131,Conceptual Fluency: Switching Between Pre- and Post-Threshold
import2016short_132,Let Kids Solve Wicked Problems... Why Not?!
import2016short_133,Effects of Implicit Guidance on Contribution Quality in a WikiBased Learning Environment
import2015short_264,AutBlocks: Using Collaborative Learning to Develop Joint
import2016full_75,The Epistemology of Science
import2018_182,Solder and Wire or Needle and Thread: Examining the Effects of
import2016full_73,Negotiation Towards Intersubjectivity and Impacts on Conceptual
import2015short_262,How Learners Employ Semiotic Resources for
import2015short_268,Modeling Performance in Asynchronous CSCL: An Exploration of
import2018_401,Individualized Assessment and Automated Feedback
import2018_400,"“If You Add Too Much Science, It Gets Boring.” Exploring Students’"
import2018_403,Opening the Door to Algebra: The Role of Fraction Knowledge in
import2018_402,Skyscraper Games: Designing Professional Development for
import2018_405,Identifying Methods to Induce Productive Confusion for Improving
import2018_404,How to Enjoy Writing Papers: Supporting Literature-Based
import2018_407,‘I Think It's Kind of Made Everybody a Little Closer:’ A Virtual
import2018_406,Examining Sixth Graders’ Science Identity Development in a Multimodal
import2016short_101,“That’s Your Heart!”: Live Physiological Sensing and
import2016short_100,The Influence of Question Wording on Children’s Tendencies to
import2016short_103,Fostering More Informed Epistemic Views Among Students
import2016short_102,Managing Threats to Teacher Face in Discussions of VideoRecorded Lessons
import2016short_105,Using Differentiated Feedback Messages to Promote Student
import2016short_104,Crossing Boundaries: Reflexive Analysis of Collaborative Learning
import2016short_107,Examining the Influence of Teacher’s Framing of Modeling
import2016short_106,Use of Interactive Computer Models to Promote Integration of
import2015full_178,Examining the Real and Perceived Impacts of a Public Idea
import2015full_176,Impacts on Student Understanding of Scientific Practices
import2015full_172,Comparing the Benefits of a Tangible User Interface and
import2015full_171,Constructing Knowledge: A Community of Practice Framework
import2018_498,Game-Talk: Media-Based Mentoring as a Process of Reframing
import2018_499,Using Multiple Perspectives to Study Identity Development in
import2018_492,Facilitation in Informal Makerspaces
import2018_493,How Do Multilingual Learners Support One Another’s Science
import2018_490,"Accessibility, Making and Tactile Robotics:"
import2018_491,An Analysis of Collective Knowledge Advancement and
import2018_496,Parents’ Decontextualized Talk During Early Childhood Predicts
import2018_497,The Impact of Evidence-based Professional Development on
import2018_494,The Structures of Embodied Play Activities and Their
import2018_495,Assessing the Validity of Peer Feedback in a
import2016short_120,Students’ Responses to Curricular Activities as Indicator of
import2018_249,“It Didn’t Really Go Very Well”: Epistemological Framing and the
import2018_248,Conceptual Patterns of Changes in University Students’
import2018_243,Using Phenomenography in Educational Technology Research
import2018_242,Guiding Intent Participation at an Art Crating Company
import2018_241,Third Graders’ Use of Digital Tools Designed for Multimodal
import2018_240,Bringing Static Code to Life: The Instructional Work of Animating
import2018_247,Exploring Teacher Learning through STEM Teachers’ Exploration
import2018_246,Multimodal Learning Analytics for the Qualitative Researcher
import2018_245,Exploring the Margins of the Field: Rethinking STEM in Education
