,file,subject,iso,uri,type,publisher,title,issued,accessioned,citation,available,abstract,value,author_name_length,author_order,shortend_names
10,import2015full_364,"['large online courses', 'learning analytics', 'student-generated content']",en,https://doi.dx.org/10.22318/cscl2015.364,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Resource Usage in Online Courses: Analyzing Learner’s Active and Passive Participation Patterns,2015-07,2017-06-19 14:15:51+00:00,"Ziebarth, S., Neubaum, G., Kyewski, E., Krämer, N., Hoppe, H. U., Hecking, T., & Eimler, S. (2015). Resource Usage in Online Courses: Analyzing Learner’s Active and Passive Participation Patterns In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"The paper analyzes the experience with an open university course for a very heterogeneous target group in which MOOC-like materials and activities were used. The course was conducted in a specifically prepared and extended Moodle environment. The analysis involves questionnaires as well as performance data that reflect the resource access on the learning platform. A special focus is put on the participants’ acceptance and usage of student-generated versus teacher-provided learning content. Network analysis techniques have been used to identify ""interest clusters"" of students around certain resources.
","Ziebarth, Sabrina",17,0,Ziebarth S.
11,import2015full_280,"['active learning', 'peer instruction', 'design-based experiment', 'conceptual change']",en,https://doi.dx.org/10.22318/cscl2015.280,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Beyond and Within Classroom Walls: Designing Principled Pedagogical Tools for Student and Faculty Uptake,2015-07,2017-06-19 14:15:51+00:00,"Charles, E. S., Lasry, N., Whittaker, C., Dugdale, M., Lenton, K., Bhatnagar, S., & Guillemette, J. (2015). Beyond and Within Classroom Walls: Designing Principled Pedagogical Tools for Student and Faculty Uptake In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"This paper tells the story of DALITE, a design-based experiment, involving a co-design project, spanning three iterations and nearly four years. DALITE was designed around the principles of peer instruction, in particular, self-explanation and intentional reflection. DALITE consists of two databases: a database of college-level physics questions and another of student-generated rationales. We report on the iterative design process that has shaped this web-based asynchronous learning environment and on its use as part of an active learning pedagogy. Using mixed methods we have tested DALITE’s effectiveness to support conceptual change, examined the content of its databases, observed its use in classrooms, and conducted interviews from users – students as well as instructors. These data help to reveal the conditions of DALITE’s effectiveness. We discuss our findings and provide design guidelines. 
","Charles, Elizabeth S.",21,0,Charles E. S.
12,import2015full_414,"['knowledge building', 'CSCL discourse', 'epistemic views of science', 'scientific inquiry']",en,https://doi.dx.org/10.22318/cscl2015.414,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Scaffolding Scientific Epistemologies through Knowledge-Building Discourse and Epistemic Reflection,2015-07,2017-06-19 14:15:51+00:00,"Lin, F. & Chan, C. K. (2015). Scaffolding Scientific Epistemologies through Knowledge-Building Discourse and Epistemic Reflection In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"This study investigated how elementary-school children’s science epistemologies can be fostered in a CSCL knowledge-building environment focusing on epistemic inquiry and reflection. Two classes of fifth graders in Hong Kong participated in a unit of electricity study. The design involves students engaging in scientific inquiry, pursuing ideas on Knowledge Forum®, and making epistemic reflection about the inquiry process.  A key design theme involves children reflecting on their inquiry in relation to scientific practice and collective theory building. Analyses indicate that online discourse moves reflecting epistemic inquiry (problem-centred uptake and theory building) were correlated with post-test epistemic and conceptual understanding. Classroom and interview analyses showed how students’ epistemic practice (e.g., theory revision) and epistemic reflection (connecting their own inquiry and scientists’ inquiry) might have influenced their epistemic development.  Implications of how children develop scientific epistemology supported by epistemic inquiry, discourse and reflection in a knowledge-building environment are discussed.
","Lin, Feng",9,0,Lin F.
13,import2015full_221,"['tangible systems', 'emergent dialogue', 'student roles', 'positive interdependence']",en,https://doi.dx.org/10.22318/cscl2015.221,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",What Kind of World Do You Want to Live In? Positive Interdependence and Collaborative Processes in the Tangible Tabletop Land-Use Planning Game Youtopia,2015-07,2017-06-19 14:15:51+00:00,"Wise, A. F., Antle, A. N., Warren, J., May, A., Fan, M., & Macaranas, A. (2015). What Kind of World Do You Want to Live In? Positive Interdependence and Collaborative Processes in the Tangible Tabletop Land-Use Planning Game Youtopia In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"Twenty pairs of 5th grade children used a tangible tabletop sustainability game to create a world they would want to live in to share with the rest of the class. Half of the pairs were assigned particular roles with associated game controls (positive interdependence condition) while the other half were not (control condition). Results showed that pairs in the assigned roles/controls condition gave more in-depth explanations to their partners about what they wanted to do in the game, but did not negotiate with each other more frequently than control pairs. They also had fewer but longer instances of jointly resolved conflict. Contrary to some previous findings, all pairs in both conditions were found to work together (rather than in parallel / competitively) the entire time. The general finding is a somewhat limited, but consistent, positive effect of the assigned roles/tools manipulation on collaborative processes. 
","Wise, Alyssa Friend",19,0,Wise A. F.
14,import2015full_217,"['dynamic geometry', 'meaning making', 'referential practices']",en,https://doi.dx.org/10.22318/cscl2015.217,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Dragging as a Referential Resource for Mathematical Meaning Making in a Collaborative Dynamic-Geometry Environment,2015-07,2017-06-19 14:15:51+00:00,"Çakır, M. P. & Stahl, G. (2015). Dragging as a Referential Resource for Mathematical Meaning Making in a Collaborative Dynamic-Geometry Environment In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"This paper focuses on the referential roles played by dragging moves on dynamic-geometry representations in a collaborative-geometry problem-solving context. Through an interaction analysis of chat excerpts where dragging is used by a team of students to explore the geometric properties of a given polygon, the paper investigates the role of dragging on the facilitation of joint mathematical meaning making online. Our qualitative findings suggest that the indexical properties of the dynamic constructions are specified and recalibrated through the coordination of dragging actions with textual chat, where the two types of actions mutually elaborate each other. 
","Çakır, Murat Perit",19,0,Çakır M. P.
15,import2015full_401,"['knowledge building', 'literacy development', 'productive vocabulary', 'CSCL']",en,https://doi.dx.org/10.22318/cscl2015.401,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",The Development of Productive Vocabulary in Knowledge Building: A Longitudinal Study,2015-07,2017-06-19 14:15:51+00:00,"Chen, B., Ma, L., Matsuzawa, Y., & Scardamalia, M. (2015). The Development of Productive Vocabulary in Knowledge Building: A Longitudinal Study In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"We report a longitudinal study on the development of 22 students’ productive vocabulary in knowledge building from Grade 1 to 6. Vocabulary growth was assessed based on the student discourse in Knowledge Forum, an online community space designed to support Knowledge Building. Analysis of lexical proficiency based on Lexical Frequency Profile and P_Lex indicated significant growth in productive written vocabulary, especially for words beyond the first two 1,000 word lists. By tracing the growth of vocabulary extracted from specific word lists, we found that the growth rate for different types of words varied across each year but correlated with each other. Correlation analyses between these lexical measures and Knowledge Building behavioral indicators revealed that note revisions are the strongest predictor of vocabulary growth rate, whereas note reading is related with lexical proficiency measures.
","Chen, Bodong",12,0,Chen B.
16,import2015full_268,"['CSCL', 'social ability', 'collective efficacy', 'social interaction']",en,https://doi.dx.org/10.22318/cscl2015.268,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].","Modeling Performance in Asynchronous CSCL: An Exploration of Social Ability, Collective Efficacy and Social Interaction",2015-07,2017-06-19 14:15:51+00:00,"Xing, W., Kim, S. M., & Goggins, S. (2015). Modeling Performance in Asynchronous CSCL: An Exploration of Social Ability, Collective Efficacy and Social Interaction In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"Previous studies have invested effort in understanding the factors affecting student learning from isolated perspectives. Based on social cognitive theory, this study proposes two dynamic CSCL models of learning using understudied factors – system functionality, social ability, collective efficacy and social interaction – to examine mediation and causal relationships among these constructs and their influence on learning. The models are tested using data collected from a large US university. Specifically, while the predictive constructs are operationalized through the survey instruments, outcome measures are modeled using electronic trace data and actual evaluation information. Data is analyzed via the Partial Least Squares method. Results demonstrate close relatedness among the constructs and a different influencing mechanism on learning for each. The addition of social interaction as a factor to the learning model increases predictability of student learning as compared to models without this factor. The paper concludes with discussion of the implications of this study. 
","Xing, Wanli",11,0,Xing W.
17,import2015full_250,"['eye-tracing', 'massive open online courses', 'MOOC', 'student engagement']",en,https://doi.dx.org/10.22318/cscl2015.250,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Looking AT versus Looking THROUGH: A Dual Eye-Tracking Study in MOOC Context,2015-07,2017-06-19 14:15:51+00:00,"Sharma, K., Caballero, D., Verma, H., Jermann, P., & Dillenbourg, P. (2015). Looking AT versus Looking THROUGH: A Dual Eye-Tracking Study in MOOC Context In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"We present an eye-tracking study to show the different gaze patterns across the MOOC learners. We hypothesize that the pretests can be used to shape the attention of the students. Moreover we also proposed a collaborative add on activity to the learning material for the students to help them reflect on the material they learnt in the MOOC video. What comes out of the present study is two different interaction styles that differentiate the good students from the poor students. The good students engage with the teacher/collaborating partner through the interface/display. While the poor students engage with the material only. We name these two interaction styles as “looking through” and “looking at” respectively.
","Sharma, Kshitij",15,0,Sharma K.
18,import2015full_232,"['digital games', 'algebra', 'mixed methods', 'engagement']",en,https://doi.dx.org/10.22318/cscl2015.232,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Algebra Learning through Digital Gaming in School,2015-07,2017-06-19 14:15:51+00:00,"Dolonen, J. A. & Kluge, A. (2015). Algebra Learning through Digital Gaming in School In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"Digital games have sparked research interest into how they can be used in school to enhance learning. This study identifies the variation in engagement and learning outcomes when two groups of students use two different digital learning resources for algebra: a game and a web-based resource. Further, the study explores how the digital learning resources create different conditions for social interaction and learning among students and their teacher in a classroom. The setting includes a class of 75 students (age 13–14) in two groups who receive identical instruction from their teacher. Field observations and pretests and posttests show that students playing the game are more engaged, yet their performance on posttests are significantly worse than the other group. Episodes of interaction between participants and technology suggest that they struggle with the symbolic world of the digital game, which constrains the mathematical meaning making that is relevant in schools.
","Dolonen, Jan Arild",18,0,Dolonen J. A.
19,import2015full_204,"['epistemology', 'reflection', 'participant structures', 'design']",en,https://doi.dx.org/10.22318/cscl2015.204,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Epistemography and Professional CSCL Environment Design,2015-07,2017-06-19 14:15:51+00:00,"Arastoopour, G. & Shaffer, D. W. (2015). Epistemography and Professional CSCL Environment Design In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"This study uses the epistemographic method to examine how professionals link ways of doing, thinking, and knowing in an epistemic frame that guides their reflection-in-action, which can inform the design of professional computer supported collaborative learning (CSCL) environments. This study examines student engineers learning design in a co-op program at a manufacturing company to investigate how participant structures, activities, and pedagogies are connected to an epistemic understanding of the profession. The analysis describes the significant participant structures in the engineering co-op program and the pedagogical techniques that are used in these participant structures. The analysis suggests that participant structures and pedagogical techniques are both orchestrated by and orchestrate the development of one of the central epistemological features of collaborative engineering design. These results suggest that epistemographic analysis is a useful tool in the development and analysis of professional CSCL environments.
","Arastoopour, Golnaz",19,0,Arastoopour G.
20,import2015full_293,"['peer-review practices', 'web-based commenting tools', 'technology', 'higher education']",en,https://doi.dx.org/10.22318/cscl2015.293,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Materiality of Online Students’ Peer-Review Activities in Higher Education,2015-07,2017-06-19 14:15:51+00:00,"Cerratto-Pargman, T., Knutsson, O., & Karlström, P. (2015). Materiality of Online Students’ Peer-Review Activities in Higher Education In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"In spite of the widespread use of technology in higher education, discourses on learning technologies commonly account for their features as disembodied from their use. There have so far been few theoretical approaches that have delved into ""the technology question"" in CSCL.  We present an empirical study that investigates how students’ peer-review activities are entangled with sociomaterial aspects of mediated collaborative learning. The students' peer-review activities were analyzed according to the Collective Instrument-mediated Activity Situation (CIAS) model, and findings show that the materiality of two different tools had considerable influence on how students engaged with the texts and how they interacted with each other.
","Cerratto-Pargman, Teresa",24,0,Cerratto-Pargman T.
