,ref,file,ref_parsed,year,identifier
10,"Chemero, A. (2009). Radical embodied cognitive science. Cambridge, MA: MIT Press.",import2016full/61,"Chemero, A. (2009)",2009.0,"Chemero, A. (2009). Radical embodied cognitive science"
11,"Chow, J. Y., Davids, K., Button, C., Shuttleworth, R., Renshaw, I., & Araújo, D. (2007). The role of nonlinear pedagogy in physical education. Review of Educational Research, 77(3), 251-278.",import2016full/61,"Chow, J. Y., Davids, K., Button, C., Shuttleworth, R., Renshaw, I., & Araújo, D. (2007)",2007.0,"Chow, J. Y., Davids, K., Button, C., Shuttleworth, R., Renshaw, I., & Araújo, D. (2007). The role of nonlinear pedagogy in physical education"
12,"Cole, M., & Wertsch, J. V. (1996). Beyond the individual-social antinomy in discussions of Piaget and Vygotsky. Human Development, 39(5), 250-256.",import2016full/61,"Cole, M., & Wertsch, J. V. (1996)",1996.0,"Cole, M., & Wertsch, J. V. (1996). Beyond the individual-social antinomy in discussions of Piaget and Vygotsky"
13,"Denison, S., & Xu, F. (2014). The origins of probabilistic inference in human infants. Cognition, 130(3), 335347.",import2016full/61,"Denison, S., & Xu, F. (2014)",2014.0,"Denison, S., & Xu, F. (2014). The origins of probabilistic inference in human infants"
14,"Dubinsky, E. (1991). Reflective abstraction in advanced mathematical thinking. In D. Tall (Ed.), Advanced mathematical thinking (pp. 95-126). Dodrecht, The Netherlands: Kluwer Academic.",import2016full/61,"Dubinsky, E. (1991)",1991.0,"Dubinsky, E. (1991). Reflective abstraction in advanced mathematical thinking"
15,"diSessa, A. A., Levin, M., & Brown, N. J. S. (Eds.). (2015). Knowledge and interaction. New York: Routledge.",import2016full/61,"diSessa, A. A., Levin, M., & Brown, N. J. S. (Eds.). (2015)",2015.0,"diSessa, A. A., Levin, M., & Brown, N. J. S. (Eds.). (2015). Knowledge and interaction"
16,"Forman, G. (1988). Making intuitive knowledge explicit through future technology. In G. Forman & P. B. Pufall (Eds.), Constructivism in the computer age (pp. 83-101). Hillsdale, NJ: Lawrence Erlbaum Associates.",import2016full/61,"Forman, G. (1988)",1988.0,"Forman, G. (1988). Making intuitive knowledge explicit through future technology"
17,"Ginsburg, H. P. (1997). Entering the child’s mind. New York: Cambridge University Press.",import2016full/61,"Ginsburg, H. P. (1997)",1997.0,"Ginsburg, H. P. (1997). Entering the child’s mind"
18,"Gray, E., & Tall, D. (1994). Duality, ambiguity, and flexibility: A “proceptual” view of simple arithmetic. Journal for Research in Mathematics Education, 25(2), 116-140.",import2016full/61,"Gray, E., & Tall, D. (1994)",1994.0,"Gray, E., & Tall, D. (1994). Duality, ambiguity, and flexibility: A “proceptual” view of simple arithmetic"
19,"Harnad, S. (1990). The symbol grounding problem. Physica D, 42, 335-346.",import2016full/61,"Harnad, S. (1990)",1990.0,"Harnad, S. (1990). The symbol grounding problem"
20,"Hutto, D. D., & Myin, E. (2013). Radicalizing enactivism: Basic minds without content. Cambridge: MIT Press.",import2016full/61,"Hutto, D. D., & Myin, E. (2013)",2013.0,"Hutto, D. D., & Myin, E. (2013). Radicalizing enactivism: Basic minds without content"
21,"Hutto, D. D., & Sánchez-García, R. (2015). Choking RECtified: Embodied expertise beyond Dreyfus. Phenomenology and the Cognitive Sciences, 14(2), 309-331.",import2016full/61,"Hutto, D. D., & Sánchez-García, R. (2015)",2015.0,"Hutto, D. D., & Sánchez-García, R. (2015). Choking RECtified: Embodied expertise beyond Dreyfus"
22,"Kelso, J. A. S., & Engstrøm, D. A. (2006). The complementary nature. Cambridge, MA: M.I.T. Press.",import2016full/61,"Kelso, J. A. S., & Engstrøm, D. A. (2006)",2006.0,"Kelso, J. A. S., & Engstrøm, D. A. (2006). The complementary nature"
23,"Lave, J., & Wenger, E. (1991). Situated learning: Legitimate peripheral participation. NYC: CUP.",import2016full/61,"Lave, J., & Wenger, E. (1991)",1991.0,"Lave, J., & Wenger, E. (1991). Situated learning: Legitimate peripheral participation"
24,"Lindgren, R., & Johnson-Glenberg, M. (2013). Emboldened by embodiment. Ed. Researcher, 42(8), 445-452.",import2016full/61,"Lindgren, R., & Johnson-Glenberg, M. (2013)",2013.0,"Lindgren, R., & Johnson-Glenberg, M. (2013). Emboldened by embodiment"
25,"Marshall, P., Antle, A. N., van den Hoven, E., & Rogers, Y. (Eds.). (2013). The theory and practice of embodied interaction in HCI and interaction design [Special issue]. ACM Transactions on Human–Computer Interaction, 20(1).",import2016full/61,"Marshall, P., Antle, A. N., van den Hoven, E., & Rogers, Y. (Eds.). (2013)",2013.0,"Marshall, P., Antle, A. N., van den Hoven, E., & Rogers, Y. (Eds.). (2013). The theory and practice of embodied interaction in HCI and interaction design [Special issue]"
26,"Martin, T., & Sherin, B. (2013). Learning analytics and computational techniques for detecting and evaluating patterns in learning: An introduction to the special issue. Journal of the Learning Sciences, 22(4), 511520.",import2016full/61,"Martin, T., & Sherin, B. (2013)",2013.0,"Martin, T., & Sherin, B. (2013). Learning analytics and computational techniques for detecting and evaluating patterns in learning: An introduction to the special issue"
27,"Moreno-Armella, L., Hegedus, S., & Kaput, J. (2008). From static to dynamic mathematics: Historical and representational perspectives. Educational Studies in Mathematics, 68(2), 99-111.",import2016full/61,"Moreno-Armella, L., Hegedus, S., & Kaput, J. (2008)",2008.0,"Moreno-Armella, L., Hegedus, S., & Kaput, J. (2008). From static to dynamic mathematics: Historical and representational perspectives"
28,"Newell, K. M., & Ranganathan, R. (2010). Instructions as constraints in motor skill acquisition. In I. Renshaw, K. Davids, & G. J. P. Savelsbergh (Eds.), Motor learning in practice (pp. 17-32). Florence, KY: Routledge.",import2016full/61,"Newell, K. M., & Ranganathan, R. (2010)",2010.0,"Newell, K. M., & Ranganathan, R. (2010). Instructions as constraints in motor skill acquisition"
29,"Newman, D., Griffin, P., & Cole, M. (1989). The construction zone. New York: Cambridge University Press.",import2016full/61,"Newman, D., Griffin, P., & Cole, M. (1989)",1989.0,"Newman, D., Griffin, P., & Cole, M. (1989). The construction zone"
30,"Norton, A. (2008). Josh’s operational conjectures. J. for Research in Mathematics Education, 39(4), 401-430.",import2016full/61,"Norton, A. (2008)",2008.0,"Norton, A. (2008). Josh’s operational conjectures"
31,"Noss, R., & Hoyles, C. (1996). Windows on mathematical meanings. Dordrecht: Kluwer.",import2016full/61,"Noss, R., & Hoyles, C. (1996)",1996.0,"Noss, R., & Hoyles, C. (1996). Windows on mathematical meanings"
32,"Piaget, J. (1968). Genetic epistemology (E. Duckworth, Trans.). New York: Columbia University Press.",import2016full/61,"Piaget, J. (1968)",1968.0,"Piaget, J. (1968). Genetic epistemology (E"
33,"Piaget, J. (1970). Structuralism (C. Maschler, Trans.). New York: Basic Books.",import2016full/61,"Piaget, J. (1970)",1970.0,"Piaget, J. (1970). Structuralism (C"
34,"Reinholz, D., Trninic, D., Howison, M., & Abrahamson, D. (2010). It's not easy being green: Embodied artifacts and the guided emergence of mathematical meaning. In P. Brosnan, D. Erchick, & L. Flevares (Eds.), Proc. of PME-NA 32 (Vol. VI, Ch. 18: “Technology,” pp. 1488-1496). Columbus, OH: PME-NA.",import2016full/61,"Reinholz, D., Trninic, D., Howison, M., & Abrahamson, D. (2010)",2010.0,"Reinholz, D., Trninic, D., Howison, M., & Abrahamson, D. (2010). It's not easy being green: Embodied artifacts and the guided emergence of mathematical meaning"
35,"Rogoff, B. (1990). Apprenticeship in thinking: Cognitive development in social context. NYC: Oxford U. Press.",import2016full/61,"Rogoff, B. (1990)",1990.0,"Rogoff, B. (1990). Apprenticeship in thinking: Cognitive development in social context"
36,"Sarama, J., & Clements, D. H. (2009). “Concrete” computer manipulatives in mathematics education. Child Development Perspectives, 3(3), 145–150.",import2016full/61,"Sarama, J., & Clements, D. H. (2009)",2009.0,"Sarama, J., & Clements, D. H. (2009). “Concrete” computer manipulatives in mathematics education"
37,"Saxe, G. B. (2012). Cultural development of mathematical ideas. Cambridge, UK: Cambridge University Press.",import2016full/61,"Saxe, G. B. (2012)",2012.0,"Saxe, G. B. (2012). Cultural development of mathematical ideas"
38,"Schneider, B., Bumbacher, E., & Blikstein, P. (2015). Discovery versus direct instruction. In T. Koschmann, P. Häkkinen, & P. Tchounikine (Eds.), Proc. of CSCL (Vol. 1, pp. 364-371). Gothenburg, Sweden: ISLS.",import2016full/61,"Schneider, B., Bumbacher, E., & Blikstein, P. (2015)",2015.0,"Schneider, B., Bumbacher, E., & Blikstein, P. (2015). Discovery versus direct instruction"
39,"Sfard, A. (2010). Thinking as communicating. NYC: Cambridge University Press.",import2016full/61,"Sfard, A. (2010)",2010.0,"Sfard, A. (2010). Thinking as communicating"
40,"Siegler, R. S. (2006). Microgenetic analyses of learning. In D. Kuhn & R. S. Siegler (Eds.), Handbook of child psychology (6th ed., Vol. 2, Cognition, perception, and language, pp. 464-510). Hoboken, NJ: Wiley.",import2016full/61,"Siegler, R. S. (2006)",2006.0,"Siegler, R. S. (2006). Microgenetic analyses of learning"
41,"Smith, J. P., diSessa, A. A., & Roschelle, J. (1993). Misconceptions reconceived: A constructivist analysis of knowledge in transition. Journal of the Learning Sciences, 3(2), 115-163.",import2016full/61,"Smith, J. P., diSessa, A. A., & Roschelle, J. (1993)",1993.0,"Smith, J. P., diSessa, A. A., & Roschelle, J. (1993). Misconceptions reconceived: A constructivist analysis of knowledge in transition"
42,"Thelen, E., & Smith, L. B. (1994). A dynamic systems approach to the development of cognition and action. Cambridge, MA: MIT Press.",import2016full/61,"Thelen, E., & Smith, L. B. (1994)",1994.0,"Thelen, E., & Smith, L. B. (1994). A dynamic systems approach to the development of cognition and action"
43,"Turner, T. (1973). Piaget’s Structuralism (review article). American Anthropologist, 75(2), 351-373.",import2016full/61,"Turner, T. (1973)",1973.0,"Turner, T. (1973). Piaget’s Structuralism (review article)"
44,"Varela, F. J., Thompson, E., & Rosch, E. (1991). The embodied mind. Cambridge, MA: M.I.T. Press.",import2016full/61,"Varela, F. J., Thompson, E., & Rosch, E. (1991)",1991.0,"Varela, F. J., Thompson, E., & Rosch, E. (1991). The embodied mind"
45,"Wertsch, J. V. (1979). From social interaction to higher psychological processes. Human Dev., 22(1), 1-22.",import2016full/61,"Wertsch, J. V. (1979)",1979.0,"Wertsch, J. V. (1979). From social interaction to higher psychological processes"
46,"Worsley, M., & Blikstein, P. (2014). Using multimodal learning analytics to study learning mechanisms. In J. Stamper, Z. Pardos, M. Mavrikis, & B. M. McLaren (Eds.), EDM (pp. 431-432). London: Inst. of Ed.",import2016full/61,"Worsley, M., & Blikstein, P. (2014)",2014.0,"Worsley, M., & Blikstein, P. (2014). Using multimodal learning analytics to study learning mechanisms"
47,"Caillois, R. (1955). The structure and classification of games. Diogenes, 3, 62-75.",import2016full/59,"Caillois, R. (1955)",1955.0,"Caillois, R. (1955). The structure and classification of games"
48,"Clark, D., Nelson, B., Sengupta, P., & D’Angelo, C. (2009). Rethinking science learning through digital games and simulations: Genres, examples, and evidence. Washington DC: National Research Council.",import2016full/59,"Clark, D., Nelson, B., Sengupta, P., & D’Angelo, C. (2009)",2009.0,"Clark, D., Nelson, B., Sengupta, P., & D’Angelo, C. (2009). Rethinking science learning through digital games and simulations: Genres, examples, and evidence"
49,"Colella, V. (2000). Participatory simulations: Building collaborative understanding through immersive dynamic modeling. The Journal of the Learning Sciences, 9(4), 471-500.",import2016full/59,"Colella, V. (2000)",2000.0,"Colella, V. (2000). Participatory simulations: Building collaborative understanding through immersive dynamic modeling"
50,"Danish, J. A., Enyedy, N., Saleh, A., Lee, C., Andrade, A. (2015). Science through Technology Enhanced Play: Designing to support reflection through play and embodiment. In Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P. & Ludvigsen, S. (Eds.) ""Exploring the material conditions of learning: opportunities and challenges for CSCL,"" the Proceedings of the Computer Supported Collaborative Learning (CSCL) Conference, (Vol. 1, pp. 332 – 339). Gothenburg, Sweden: The International Society of the Learning Sciences.",import2016full/59,"Danish, J. A., Enyedy, N., Saleh, A., Lee, C., Andrade, A. (2015)",2015.0,"Danish, J. A., Enyedy, N., Saleh, A., Lee, C., Andrade, A. (2015). Science through Technology Enhanced Play: Designing to support reflection through play and embodiment"
51,"Enyedy, N., Danish, J. A., Delacruz, G., & Kumar, M. (2012). Learning physics through play in an augmented reality environment. International Journal of Computer-Supported Collaborative Learning, 7(3), 347378.",import2016full/59,"Enyedy, N., Danish, J. A., Delacruz, G., & Kumar, M. (2012)",2012.0,"Enyedy, N., Danish, J. A., Delacruz, G., & Kumar, M. (2012). Learning physics through play in an augmented reality environment"
52,"Enyedy, N., Danish, J. A., DeLiema, D. (2015). Constructing liminal blends in a collaborative augmented-reality learning environment. Int'l. Journal of Computer Supported Collaborative Learning, 10(1), 7-34.",import2016full/59,"Enyedy, N., Danish, J. A., DeLiema, D. (2015)",2015.0,"Enyedy, N., Danish, J. A., DeLiema, D. (2015). Constructing liminal blends in a collaborative augmented-reality learning environment"
53,"Erickson, F., & Schultz, J. (1981). When is a context? Some issues and methods in the analysis of social competence. In J. Green & C. Wallat (Eds.), Ethnography and language in educational settings (pp. 147– 160). Norwood, NJ: Ablex.",import2016full/59,"Erickson, F., & Schultz, J. (1981)",1981.0,"Erickson, F., & Schultz, J. (1981). When is a context"
54,"Fauconnier, G., & Turner, M. (1998). Conceptual integration networks. Cognitive Science, 22, 133–187.",import2016full/59,"Fauconnier, G., & Turner, M. (1998)",1998.0,"Fauconnier, G., & Turner, M. (1998). Conceptual integration networks"
55,"Gee, J. P. (2007). Good videogames and good learning: Collected essays on video games. New York, NY: Peter Lang Publishing.",import2016full/59,"Gee, J. P. (2007)",2007.0,"Gee, J. P. (2007). Good videogames and good learning: Collected essays on video games"
56,"Goodwin, M. H. (1993). Tactical uses of stories: Participation frameworks within girls’ and boys’ disputes. In D. Tannen (Eds.) Gender and conversational interaction (pp. 110-142). New York: Oxford University Press.",import2016full/59,"Goodwin, M. H. (1993)",1993.0,"Goodwin, M. H. (1993). Tactical uses of stories: Participation frameworks within girls’ and boys’ disputes"
57,"Goffman, E. (1974). Frame analysis: An essay on the organization of experience. Cambridge, MA: Harvard University Press.",import2016full/59,"Goffman, E. (1974)",1974.0,"Goffman, E. (1974). Frame analysis: An essay on the organization of experience"
58,"Jordan, B. & Henderson, A. (1995). Interaction analysis: Foundations and practice. The Journal of the Learning Sciences, 4(1), 39-103.",import2016full/59,"Jordan, B. & Henderson, A. (1995)",1995.0,"Jordan, B. & Henderson, A. (1995). Interaction analysis: Foundations and practice"
59,"Lee, V. (Ed.) (2015). Learning technologies and the body: Integration and implementation in formal and informal learning environments. New York: Routledge.",import2016full/59,"Lee, V. (Ed.) (2015)",2015.0,"Lee, V. (Ed.) (2015). Learning technologies and the body: Integration and implementation in formal and informal learning environments"
60,"Lindgren, R. (2015). Getting into the cue: Embracing technology-facilitated body movements as a starting point for learning. In V. Lee (Ed.), Learning Technologies and the Body: Integration and Implementation in Formal and Informal Learning Environments (Vol. 135). New York: Routledge.",import2016full/59,"Lindgren, R. (2015)",2015.0,"Lindgren, R. (2015). Getting into the cue: Embracing technology-facilitated body movements as a starting point for learning"
61,"Nemirovsky, R., Tierney, C., & Wright, T. (1998). Body motion and graphing. Cognition and Instruction, 16(2), 119–172.",import2016full/59,"Nemirovsky, R., Tierney, C., & Wright, T. (1998)",1998.0,"Nemirovsky, R., Tierney, C., & Wright, T. (1998). Body motion and graphing"
62,"Ochs, E., Jacoby, S., & Gonzales, P. (1994). Interpretive journeys: How physicists talk and travel through graphic space. Configurations, 2, 151–171.",import2016full/59,"Ochs, E., Jacoby, S., & Gonzales, P. (1994)",1994.0,"Ochs, E., Jacoby, S., & Gonzales, P. (1994). Interpretive journeys: How physicists talk and travel through graphic space"
63,"Paik S. H., Kim, H. N., Cho, B. K., Park, J. W. (2004). K-8th grade Korean students’ conceptions of ‘changes of state’ and ‘conditions for changes of state.’ Int J Sci Educ, 26(2), 207–224.",import2016full/59,"Paik S. H., Kim, H. N., Cho, B. K., Park, J. W. (2004)",2004.0,"Paik S. H., Kim, H. N., Cho, B. K., Park, J. W. (2004). K-8th grade Korean students’ conceptions of ‘changes of state’ and ‘conditions for changes of state"
64,"Schauble, L., Klopfer, L. E., & Raghavan, K. (1991). Students' transition from an engineering model to a science model of experimentation. Journal of Research in Science Teaching, 28(9), 859-882.",import2016full/59,"Schauble, L., Klopfer, L. E., & Raghavan, K. (1991)",1991.0,"Schauble, L., Klopfer, L. E., & Raghavan, K. (1991). Students' transition from an engineering model to a science model of experimentation"
65,"Schwarz, C. V., Reiser, B. J., Davis, E. A., Kenyon, L., Achér, A., Fortus, D., Shwartz, Y, Hug, B. & Krajcik, J. (2009). Developing a learning progression for scientific modeling: Making scientific modeling accessible and meaningful for learners. Journal of Research in Science Teaching, 46(6), 632-654.",import2016full/59,"Schwarz, C. V., Reiser, B. J., Davis, E. A., Kenyon, L., Achér, A., Fortus, D., Shwartz, Y, Hug, B. & Krajcik, J. (2009)",2009.0,"Schwarz, C. V., Reiser, B. J., Davis, E. A., Kenyon, L., Achér, A., Fortus, D., Shwartz, Y, Hug, B. & Krajcik, J. (2009). Developing a learning progression for scientific modeling: Making scientific modeling accessible and meaningful for learners"
66,"Vygotsky, L. S. (1978). Mind in society: the development of higher psychological processes. Cambridge, MA: Harvard University Press.",import2016full/59,"Vygotsky, L. S. (1978)",1978.0,"Vygotsky, L. S. (1978). Mind in society: the development of higher psychological processes"
